GRAPHEME	FROM_PHONATION	FROM_PLACE	FROM_MANNER	TO_PHONATION	TO_PLACE	TO_MANNER	ALIAS	EXTRA	NOTE
bb̤	from_voiced	from_bilabial	from_plosive	to_breathy-voiced	to_bilabial	to_plosive			
bb̥	from_voiced	from_bilabial	from_plosive	to_devoiced	to_bilabial	to_plosive			
bc	from_voiced	from_bilabial	from_plosive	to_voiceless	to_palatal	to_plosive			
bcʼ	from_voiced	from_bilabial	from_plosive	to_voiceless	to_palatal	to_plosive		to_ejection:to_ejective	
bd	from_voiced	from_bilabial	from_plosive	to_voiced	to_alveolar	to_plosive			
bd̠	from_voiced	from_bilabial	from_plosive	to_voiced	to_postalveolar	to_plosive			
bd̤	from_voiced	from_bilabial	from_plosive	to_breathy-voiced	to_alveolar	to_plosive			
bd̪	from_voiced	from_bilabial	from_plosive	to_voiced	to_dental	to_plosive			
bd̪̈	from_voiced	from_bilabial	from_plosive	to_breathy-voiced	to_dental	to_plosive			
bd̰	from_voiced	from_bilabial	from_plosive	to_creaky-voiced	to_alveolar	to_plosive			
bd̻	from_voiced	from_bilabial	from_plosive	to_voiced	to_lamino-dental	to_plosive			
bg	from_voiced	from_bilabial	from_plosive	to_voiced	to_velar	to_plosive			
bg̈	from_voiced	from_bilabial	from_plosive	to_breathy-voiced	to_velar	to_plosive			
bg̊	from_voiced	from_bilabial	from_plosive	to_devoiced	to_velar	to_plosive			
bk	from_voiced	from_bilabial	from_plosive	to_voiceless	to_velar	to_plosive			
bkʼ	from_voiced	from_bilabial	from_plosive	to_voiceless	to_velar	to_plosive		to_ejection:to_ejective	
bp	from_voiced	from_bilabial	from_plosive	to_voiceless	to_bilabial	to_plosive			
bpʼ	from_voiced	from_bilabial	from_plosive	to_voiceless	to_bilabial	to_plosive		to_ejection:to_ejective	
bq	from_voiced	from_bilabial	from_plosive	to_voiceless	to_uvular	to_plosive			
bqʼ	from_voiced	from_bilabial	from_plosive	to_voiceless	to_uvular	to_plosive		to_ejection:to_ejective	
bt	from_voiced	from_bilabial	from_plosive	to_voiceless	to_alveolar	to_plosive			
btʼ	from_voiced	from_bilabial	from_plosive	to_voiceless	to_alveolar	to_plosive		to_ejection:to_ejective	
bt̠	from_voiced	from_bilabial	from_plosive	to_voiceless	to_postalveolar	to_plosive			
bt̪	from_voiced	from_bilabial	from_plosive	to_voiceless	to_dental	to_plosive			
bt̻	from_voiced	from_bilabial	from_plosive	to_voiceless	to_lamino-dental	to_plosive			
bɓ	from_voiced	from_bilabial	from_plosive	to_voiced	to_bilabial	to_implosive			
bɖ	from_voiced	from_bilabial	from_plosive	to_voiced	to_retroflex	to_plosive			
bɖ̤	from_voiced	from_bilabial	from_plosive	to_breathy-voiced	to_retroflex	to_plosive			
bɗ	from_voiced	from_bilabial	from_plosive	to_voiced	to_dental	to_implosive			
bɟ	from_voiced	from_bilabial	from_plosive	to_voiced	to_palatal	to_plosive			
bɠ	from_voiced	from_bilabial	from_plosive	to_voiced	to_velar	to_implosive			
bɢ	from_voiced	from_bilabial	from_plosive	to_voiced	to_uvular	to_plosive			
bʄ	from_voiced	from_bilabial	from_plosive	to_voiced	to_palatal	to_implosive			
bʈ	from_voiced	from_bilabial	from_plosive	to_voiceless	to_retroflex	to_plosive			
bʔ	from_voiced	from_bilabial	from_plosive	to_voiceless	to_glottal	to_plosive			
bʛ	from_voiced	from_bilabial	from_plosive	to_voiced	to_uvular	to_implosive			
bʛ̥	from_voiced	from_bilabial	from_plosive	to_voiceless	to_uvular	to_implosive			
bʡ	from_voiced	from_bilabial	from_plosive	to_voiceless	to_epiglottal	to_plosive			
b̤b	from_breathy-voiced	from_bilabial	from_plosive	to_voiced	to_bilabial	to_plosive			
b̤b̥	from_breathy-voiced	from_bilabial	from_plosive	to_devoiced	to_bilabial	to_plosive			
b̤c	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_palatal	to_plosive			
b̤cʼ	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_palatal	to_plosive		to_ejection:to_ejective	
b̤d	from_breathy-voiced	from_bilabial	from_plosive	to_voiced	to_alveolar	to_plosive			
b̤d̠	from_breathy-voiced	from_bilabial	from_plosive	to_voiced	to_postalveolar	to_plosive			
b̤d̤	from_breathy-voiced	from_bilabial	from_plosive	to_breathy-voiced	to_alveolar	to_plosive			
b̤d̪	from_breathy-voiced	from_bilabial	from_plosive	to_voiced	to_dental	to_plosive			
