GRAPHEME	ROUNDEDNESS	HEIGHT	CENTRALITY	ALIAS	EXTRA	NOTE
a	unrounded	open	front			
aa	unrounded	open	front	+	duration:long	
aː	unrounded	open	front		duration:long	
aˑ	unrounded	open	front		duration:mid-long	
a˞	unrounded	open	front		rhotacization:rhotacized	
ã	unrounded	open	front		nasalization:nasalized	
ãã	unrounded	open	front	+	nasalization:nasalized,duration:long	
ãː	unrounded	open	front		nasalization:nasalized,duration:long	
ă	unrounded	open	front		phonation:ultra-short	
ḁ	unrounded	open	front		phonation:voiceless	
a̯	unrounded	open	front		syllabicity:non-syllabic	
a̰	unrounded	open	front		phonation:creaky-voiced	
a̰ː	unrounded	open	front		phonation:creaky-voiced,duration:ultra-long	
e	unrounded	close-mid	front			
ee	unrounded	close-mid	front	+	duration:long	
eː	unrounded	close-mid	front		duration:long	
eːː	unrounded	close-mid	front		duration:ultra-long	
eˑ	unrounded	close-mid	front		duration:mid-long	
ẽ	unrounded	close-mid	front		nasalization:nasalized	
ẽẽ	unrounded	close-mid	front	+	nasalization:nasalized,duration:long	
ẽː	unrounded	close-mid	front		nasalization:nasalized,duration:long	
ĕ	unrounded	close-mid	front		phonation:ultra-short	
e̞	unrounded	mid	front			
e̞e̞	unrounded	mid	front	+	duration:long	
e̞ː	unrounded	mid	front		duration:long	
e̞ˑ	unrounded	mid	front		duration:mid-long	
ẽ̞	unrounded	mid	front		nasalization:nasalized	
ẽ̞ẽ̞	unrounded	mid	front	+	nasalization:nasalized,duration:long	
ẽ̞ː	unrounded	mid	front		nasalization:nasalized,duration:long	
e̤	unrounded	close-mid	front		phonation:breathy-voiced	
e̥	unrounded	close-mid	front		phonation:voiceless	
e̯	unrounded	close-mid	front		syllabicity:non-syllabic	
ḛ	unrounded	close-mid	front		phonation:creaky-voiced	
e̹	rounded	close-mid	front	+		
e̹ː	rounded	close-mid	front	+	duration:long	
i	unrounded	close	front			
ii	unrounded	close	front	+	duration:long	
iː	unrounded	close	front		duration:long	
iːː	unrounded	close	front		duration:ultra-long	
iˑ	unrounded	close	front		duration:mid-long	
ĩ	unrounded	close	front		nasalization:nasalized	
ĩĩ	unrounded	close	front	+	nasalization:nasalized,duration:long	
ĩː	unrounded	close	front		nasalization:nasalized,duration:long	
i̤	unrounded	close	front		phonation:breathy-voiced	
i̥	unrounded	close	front		phonation:voiceless	
ḭ	unrounded	close	front		phonation:creaky-voiced	
ḭː	unrounded	close	front		phonation:creaky-voiced,duration:long	
ḭːː	unrounded	close	front		phonation:creaky-voiced,duration:ultra-long	
i̹	rounded	close	front	+		
o	rounded	close-mid	back			
oo	rounded	close-mid	back	+	duration:long	
oː	rounded	close-mid	back		duration:long	
oːː	rounded	close-mid	back		duration:ultra-long	
oˑ	rounded	close-mid	back		duration:mid-long	
oˤ	rounded	close-mid	back		pharyngealization:pharyngealized	
õ	rounded	close-mid	back		nasalization:nasalized	
õõ	rounded	close-mid	back	+	nasalization:nasalized	
õː	rounded	close-mid	back		nasalization:nasalized,duration:long	
ŏ	rounded	close-mid	back		phonation:ultra-short	
o̞	rounded	mid	back			
o̞o̞	rounded	mid	back	+	duration:long	
o̞ː	rounded	mid	back		duration:long	
õ̞	rounded	mid	back		nasalization:nasalized	
õ̞õ̞	rounded	mid	back	+	nasalization:nasalized	
õ̞ː	rounded	mid	back		nasalization:nasalized,duration:long	
o̤	rounded	close-mid	back		phonation:breathy-voiced	
o̥	rounded	close-mid	back		phonation:voiceless	
o̯	rounded	close-mid	back		syllabicity:non-syllabic	
o̰	rounded	close-mid	back		phonation:creaky-voiced	
u	rounded	close	back			
uu	rounded	close	back	+	duration:long	
uː	rounded	close	back		duration:long	
uːː	rounded	close	back		duration:ultra-long	
uˑ	rounded	close	back		duration:mid-long	
ũ	rounded	close	back		nasalization:nasalized	
ũũ	rounded	close	back	+	nasalization:nasalized	
ũː	rounded	close	back		nasalization:nasalized,duration:long	
ṳ	rounded	close	back		phonation:breathy-voiced	
u̥	rounded	close	back		phonation:voiceless	
ṵ	rounded	close	back		phonation:creaky-voiced	
y	rounded	close	front			
yy	rounded	close	front	+	duration:long	
yː	rounded	close	front		duration:long	
yːː	rounded	close	front		duration:ultra-long	
yˑ	rounded	close	front		duration:mid-long	
ỹ	rounded	close	front		nasalization:nasalized	
ỹỹ	rounded	close	front	+	nasalization:nasalized,duration:long	
ỹː	rounded	close	front		nasalization:nasalized,duration:long	
æ	unrounded	nearly-open	front			
ææ	unrounded	nearly-open	front	+	duration:long	
æː	unrounded	nearly-open	front		duration:long	
æːː	unrounded	nearly-open	front		duration:ultra-long	
æˑ	unrounded	nearly-open	front		duration:mid-long	
æ̃	unrounded	nearly-open	front		nasalization:nasalized	
æ̃æ̃	unrounded	nearly-open	front	+	nasalization:nasalized,duration:long	
æ̃ː	unrounded	nearly-open	front		nasalization:nasalized,duration:long	
æ̰	unrounded	nearly-open	front		phonation:creaky-voiced	
ø	rounded	close-mid	front			
øø	rounded	close-mid	front	+	duration:long	
øː	rounded	close-mid	front		duration:long	
øːː	rounded	close-mid	front		duration:ultra-long	
øˑ	rounded	close-mid	front		duration:mid-long	
ø̃	rounded	close-mid	front		nasalization:nasalized	
ø̃ø̃	rounded	close-mid	front	+	nasalization:nasalized,duration:long	
ø̃ː	rounded	close-mid	front		nasalization:nasalized,duration:long	
ø̞	rounded	mid	front			
ø̞ø̞	rounded	mid	front	+	duration:long	
ø̞ː	rounded	mid	front		duration:long	
ø̞̃	rounded	mid	front		nasalization:nasalized	
ø̞̃ø̞̃	rounded	mid	front	+	nasalization:nasalized,duration:long	
ø̞̃ː	rounded	mid	front		nasalization:nasalized,duration:long	
œ	rounded	open-mid	front			
œœ	rounded	open-mid	front	+	duration:long	
œː	rounded	open-mid	front		duration:long	
œ̃	rounded	open-mid	front		nasalization:nasalized	
œ̃œ̃	rounded	open-mid	front	+	nasalization:nasalized,duration:long	
œ̃ː	rounded	open-mid	front		nasalization:nasalized,duration:long	
ɐ	unrounded	nearly-open	central			
ɐɐ	unrounded	nearly-open	central	+	duration:long	
ɐː	unrounded	nearly-open	central		duration:long	
ɐ̃	unrounded	nearly-open	central		nasalization:nasalized	
ɐ̃ɐ̃	unrounded	nearly-open	central	+	nasalization:nasalized,duration:long	
ɐ̃ː	unrounded	nearly-open	central		nasalization:nasalized,duration:long	
ɐ̯	unrounded	nearly-open	central		syllabicity:non-syllabic	
ɐ̹	rounded	near-open	central	+		
ɐ̹ɐ̹	rounded	near-open	central	+	duration:long	
ɐ̹ː	rounded	near-open	central	+	duration:long	
ɑ	unrounded	open	back			
ɑɑ	unrounded	open	back	+	duration:long	
ɑː	unrounded	open	back		duration:long	
ɑ̃	unrounded	open	back		nasalization:nasalized	
ɑ̃ɑ̃	unrounded	open	back	+	nasalization:nasalized	
ɑ̃ː	unrounded	open	back		nasalization:nasalized,duration:long	
ɒ	rounded	open	back			
ɒɒ	rounded	open	back	+	duration:long	
ɒː	rounded	open	back		duration:long	
ɒ̃	rounded	open	back		nasalization:nasalized	
ɒ̃ɒ̃	rounded	open	back	+	nasalization:nasalized	
ɒ̃ː	rounded	open	back		nasalization:nasalized,duration:long	
ɔ	rounded	open-mid	back			
ɔɔ	rounded	open-mid	back	+	duration:long	
ɔː	rounded	open-mid	back		duration:long	
ɔ̃	rounded	open-mid	back		nasalization:nasalized	
ɔ̃ɔ̃	rounded	open-mid	back	+	nasalization:nasalized	
ɔ̃ː	rounded	open-mid	back		nasalization:nasalized,duration:long	
ɔ̞̈	rounded	near-open	central	+		
ɔ̞̈ɔ̞̈	rounded	near-open	central	+	duration:long	
ɔ̞̈ː	rounded	near-open	central	+	duration:long	
ɔ̰	rounded	open-mid	back		phonation:creaky-voiced	
ɘ	unrounded	close-mid	central			
ɘɘ	unrounded	close-mid	central	+	duration:long	
ɘː	unrounded	close-mid	central		duration:long	
ɘ̃	unrounded	close-mid	central		nasalization:nasalized	
ɘ̃ɘ̃	unrounded	close-mid	central	+	nasalization:nasalized	
ɘ̃ː	unrounded	close-mid	central		nasalization:nasalized,duration:long	
ə	unrounded	mid	central			
əə	unrounded	mid	central	+	duration:long	
əː	unrounded	mid	central		duration:long	
ə˞	unrounded	mid	central		rhotacization:rhotacized	
ə̃	unrounded	mid	central		nasalization:nasalized	
ə̃ə̃	unrounded	mid	central	+	nasalization:nasalized	
ə̃ː	unrounded	mid	central		nasalization:nasalized,duration:long	
ə̆	unrounded	mid	central		phonation:ultra-short	
ə̰	unrounded	mid	central		phonation:creaky-voiced	
ɛ	unrounded	open-mid	front			
ɛɛ	unrounded	open-mid	front	+	duration:long	
ɛː	unrounded	open-mid	front		duration:long	
ɛːː	unrounded	open-mid	front		duration:ultra-long	
ɛ̃	unrounded	open-mid	front		nasalization:nasalized	
ɛ̃ɛ̃	unrounded	open-mid	front	+	nasalization:nasalized,duration:long	
ɛ̃ː	unrounded	open-mid	front		nasalization:nasalized,duration:long	
ɛ̹̃	rounded	open-mid	front	+	nasalization:nasalized	
ɛ̰	unrounded	open-mid	front		phonation:creaky-voiced	
ɜ	unrounded	open-mid	central			
ɜɜ	unrounded	open-mid	central	+	duration:long	
ɜː	unrounded	open-mid	central		duration:long	
ɜ̃	unrounded	open-mid	central		nasalization:nasalized	
ɜ̃ɜ̃	unrounded	open-mid	central	+	nasalization:nasalized,duration:long	
ɜ̃ː	unrounded	open-mid	central		nasalization:nasalized,duration:long	
ɞ	rounded	open-mid	central			
ɞɞ	rounded	open-mid	central	+	duration:long	
ɞː	rounded	open-mid	central		duration:long	
ɞ̃	rounded	open-mid	central		nasalization:nasalized	
ɞ̃ɞ̃	rounded	open-mid	central	+	nasalization:nasalized,duration:long	
ɞ̃ː	rounded	open-mid	central		nasalization:nasalized,duration:long	
ɞ̞	rounded	near-open	central			
ɞ̞ɞ̞	rounded	near-open	central	+	duration:long	
ɞ̞ː	rounded	near-open	central		duration:long	
ɞ̞̃	rounded	near-open	central		nasalization:nasalized	
ɞ̞̃ɞ̞̃	rounded	near-open	central	+	nasalization:nasalized,duration:long	
ɞ̞̃ː	rounded	near-open	central		nasalization:nasalized,duration:long	
ɤ	unrounded	close-mid	back			
ɤɤ	unrounded	close-mid	back	+	duration:long	
ɤː	unrounded	close-mid	back		duration:long	
ɤ̃	unrounded	close-mid	back		nasalization:nasalized	
ɤ̃ɤ̃	unrounded	close-mid	back	+	nasalization:nasalized	
ɤ̃ː	unrounded	close-mid	back		nasalization:nasalized,duration:long	
ɤ̆	unrounded	close-mid	back		phonation:ultra-short	
ɤ̞	unrounded	mid	back			
ɤ̞ɤ̞	unrounded	mid	back	+	duration:long	
ɤ̞ː	unrounded	mid	back		duration:long	
ɤ̞̃	unrounded	mid	back		nasalization:nasalized	
ɤ̞̃ɤ̞̃	unrounded	mid	back	+	nasalization:nasalized	
ɤ̞̃ː	unrounded	mid	back		nasalization:nasalized,duration:long	
ɨ	unrounded	close	central			
ɨɨ	unrounded	close	central	+	duration:long	
ɨː	unrounded	close	central		duration:long	
ɨ̃	unrounded	close	central		nasalization:nasalized	
ɨ̃ɨ̃	unrounded	close	central	+	nasalization:nasalized	
ɨ̃ː	unrounded	close	central		nasalization:nasalized,duration:long	
ɪ	unrounded	near-close	near-front			
ɪɪ	unrounded	near-close	near-front	+	duration:long	
ɪː	unrounded	near-close	near-front		duration:long	
ɪ̃	unrounded	near-close	near-front		nasalization:nasalized	
ɪ̃ɪ̃	unrounded	near-close	near-front	+	nasalization:nasalized,duration:long	
ɪ̃ː	unrounded	near-close	near-front		nasalization:nasalized,duration:long	
ɪ̈	unrounded	near-close	central			
ɪ̈ɪ̈	unrounded	near-close	central	+	duration:long	
ɪ̈ː	unrounded	near-close	central		duration:long	
ɪ̈̃	unrounded	near-close	central		nasalization:nasalized	
ɪ̈̃ɪ̈̃	unrounded	near-close	central	+	nasalization:nasalized	
ɪ̈̃ː	unrounded	near-close	central		nasalization:nasalized,duration:long	
ɪ̥	unrounded	near-close	near-front		phonation:voiceless	
ɪ̯	unrounded	near-close	near-front		syllabicity:non-syllabic	
ɪ̰	unrounded	near-close	near-front		phonation:creaky-voiced	
ɪ̹	rounded	near-close	near-front	+		
ɯ	unrounded	close	back			
ɯɯ	unrounded	close	back	+	duration:long	
ɯː	unrounded	close	back		duration:long	
