GRAPHEME	SOUND_CLASS	NAME	SOUND_CLASS_MODEL
pfʰ	B	aspirated voiceless labio-dental affricate consonant	sca
dʲ	T	palatalized voiced alveolar stop consonant	sca
lʲ	L	palatalized voiced alveolar lateral approximant consonant	sca
nʲ	N	palatalized voiced alveolar nasal consonant	sca
rʲ	R	palatalized voiced alveolar trill consonant	sca
sʲ	S	palatalized voiceless alveolar sibilant fricative consonant	sca
zʲ	S	palatalized voiced alveolar sibilant fricative consonant	sca
s̻	S	voiceless laminal alveolar sibilant fricative consonant	sca
oz̻	U	voiced laminal alveolar sibilant fricative consonant	sca
n̻	N	voiced laminal alveolar nasal consonant	sca
l̻	L	voiced laminal alveolar lateral approximant consonant	sca
dɮ	T	voiced alveolar lateral affricate consonant	sca
dz	C	voiced alveolar sibilant affricate consonant	sca
dzː	T	long voiced alveolar sibilant affricate consonant	sca
tɬ	T	voiceless alveolar lateral affricate consonant	sca
tɬʰ	T	aspirated voiceless alveolar lateral affricate consonant	sca
tɬʼ	T	voiceless alveolar ejective lateral affricate consonant	sca
ts	C	voiceless alveolar sibilant affricate consonant	sca
tsʰ	C	aspirated voiceless alveolar sibilant affricate consonant	sca
tsː	T	long voiceless alveolar sibilant affricate consonant	sca
tsʼ	T	voiceless alveolar ejective sibilant affricate consonant	sca
tsʲ	T	palatalized voiceless alveolar sibilant affricate consonant	sca
ɹ	R	voiced alveolar approximant consonant	sca
ɹ̩	R	syllabic voiced alveolar approximant consonant	sca
l	L	voiced alveolar lateral approximant consonant	sca
lː	L	long voiced alveolar lateral approximant consonant	sca
l̩	L	syllabic voiced alveolar lateral approximant consonant	sca
l̥	L	devoiced voiced alveolar lateral approximant consonant	sca
gǃ	K	voiced alveolar click consonant	sca
ǃ	!	voiceless alveolar click consonant	sca
ɮ	L	voiced alveolar lateral fricative consonant	sca
z	S	voiced alveolar sibilant fricative consonant	sca
z̩	S	syllabic voiced alveolar sibilant fricative consonant	sca
z̥	S	devoiced voiced alveolar sibilant fricative consonant	sca
ɬ	L	voiceless alveolar lateral fricative consonant	sca
ɬʼ	L	voiceless alveolar ejective lateral fricative consonant	sca
s	S	voiceless alveolar sibilant fricative consonant	sca
sː	S	long voiceless alveolar sibilant fricative consonant	sca
sʼ	S	voiceless alveolar ejective sibilant fricative consonant	sca
s̩	S	syllabic voiceless alveolar sibilant fricative consonant	sca
sˠ	S	velarized voiceless alveolar sibilant fricative consonant	sca
