GRAPHEME	NAME	BIPA	SOUNDTYPE	GENERATED	ALIAS	NORMALIZED	DATASET	DATATYPE	FREQUENCY	URL	FEATURES	IMAGE	SOUND	NOTE
⁵²	falling from-high to-mid-low tone	⁵²	bipa	ts				0					
ɵ̞̃ɵ̞̃	nasalized rounded mid central vowel	ɵ̞̃	bipa	ts				0					
t̪ʼ	voiceless dental ejective stop consonant	t̪ʼ	bipa	ts				0					
eˑ	mid-long unrounded close-mid front vowel	eˑ	bipa	ts				0					
t̪ː	long voiceless dental stop consonant	t̪ː	bipa	ts				0					
t̠ʃʼ	voiceless post-alveolar ejective sibilant affricate consonant	tʃʼ	bipa	ts				0					
ɯ̯	non-syllabic unrounded close back vowel	ɯ̯	bipa	ts				0					
¹⁵⁴	contour from-low via-high to-mid-high tone	¹⁵⁴	bipa	ts				0					
ɶː	long rounded open front vowel	ɶː	bipa	ts				0					
x	voiceless velar fricative consonant	x	bipa	ts				0					
ɸ	voiceless bilabial fricative consonant	ɸ	bipa	ts				0					
³¹⁵	contour from-mid via-low to-high tone	³¹⁵	bipa	ts				0					
t̪ɬ̪	voiceless dental lateral affricate consonant	tɬ̪	bipa	ts				0					
ʌ	unrounded open-mid back vowel	ʌ	bipa	ts				0					
øˑ	mid-long rounded close-mid front vowel	øˑ	bipa	ts				0					
⁴³⁴	contour from-mid-high via-mid to-mid-high tone	⁴³⁴	bipa	ts				0					
ɗ̥	devoiced voiced dental implosive consonant	ɗ̥	bipa	ts				0					
ɛ̃ɛ̃	long nasalized unrounded open-mid front vowel	ɛ̃ː	bipa	ts				0					
ɯ̽̃ɯ̽̃	long nasalized unrounded near-close near-back vowel	ɯ̽̃ː	bipa	ts				0					
ʰp	pre-aspirated voiceless bilabial stop consonant	ʰp	bipa	ts				0					
³⁴⁵	contour from-mid via-mid-high to-high tone	³⁴⁵	bipa	ts				0					
dʰ	aspirated voiced alveolar stop consonant	dʰ	bipa	ts				0					I think, aspirated voiced sounds are always breathy-voiced.
ŋgʘ	pre-nasalized voiced labial click consonant	ⁿgʘ	bipa	ts				0					
l̠	voiced post-alveolar lateral approximant consonant	l̠	bipa	ts				0					
tʂ	voiceless retroflex sibilant affricate consonant	ʈʂ	bipa	ts				0					
ɐ̃ɐ̃	long nasalized unrounded near-open central vowel	ɐ̃ː	bipa	ts				0					
ʈʰː	aspirated long voiceless retroflex stop consonant	ʈʰː	bipa	ts				0					
