NAME	TYPE	GRAPHEME	UNICODE	ALIASES	GENERATED	REFLEXES	NOTE
labialized aspirated voiceless velar stop consonant	consonant	kʷʰ	LATIN SMALL LETTER K / MODIFIER LETTER SMALL W / MODIFIER LETTER SMALL H	kwh,kʰʷ,kʷʰ,kʼw		asjp:k,asjpcode:kwh,beijingdaxue:kʼw,bipa:kʷʰ,color:#c89664,cv:C,diachronica:kʰʷ,diachronica:kʷʰ,dolgo:K,eurasian:kʰʷ,eurasian:kʷʰ,gld:kʷʰ,lapsyd:kʰʷ,lapsyd:kʷʰ,nidaba:kʰʷ,panphon:kʰʷ,panphon:kʷʰ,pbase:kʰʷ,phoible:kʰʷ,phoible:kʷʰ,prosody:1,ruhlen:kʰʷ,sca:K	
voiceless alveolar sibilant affricate consonant	consonant	ts	LATIN SMALL LETTER T / LATIN SMALL LETTER S	c,ts,tˢ,t͜s,t͡s,ʦ		asjp:C,asjpcode:c,beijingdaxue:ts,bipa:ts,color:#c89664,cv:C,diachronica:t͜s,dolgo:K,eurasian:ts,eurasian:tˢ,gld:c,lapsyd:ts,multimedia:ts,napa:tˢ,nidaba:t͡s,panphon:t͡s,pbase:ts,phoible:ts,prosody:2,ruhlen:tˢ,sca:C	
voiced alveolar sibilant fricative consonant	consonant	z	LATIN SMALL LETTER Z	z,◌͜z		asjp:z,asjpcode:z,beijingdaxue:z,bipa:z,color:#6496c8,cv:C,diachronica:z,diachronica:◌͜z,dolgo:S,eurasian:z,gld:z,lapsyd:z,multimedia:z,napa:z,nidaba:z,panphon:z,pbase:z,phoible:z,prosody:3,ruhlen:z,sca:S	
voiceless alveolar sibilant fricative consonant	consonant	s	LATIN SMALL LETTER S	s,◌͜s		asjp:s,asjpcode:s,beijingdaxue:s,bipa:s,color:#6496c8,cv:C,diachronica:s,diachronica:◌͜s,dolgo:S,eurasian:s,gld:s,lapsyd:s,multimedia:s,napa:s,nidaba:s,panphon:s,pbase:s,phoible:s,prosody:3,ruhlen:s,sca:S	
voiceless bilabial stop consonant	consonant	p	LATIN SMALL LETTER P	p,◌͜p		asjp:p,asjpcode:p,beijingdaxue:p,bipa:p,color:#c8c864,cv:C,diachronica:p,diachronica:◌͜p,dolgo:P,eurasian:p,gld:p,lapsyd:p,multimedia:p,napa:p,nidaba:p,panphon:p,pbase:p,phoible:p,prosody:1,ruhlen:p,sca:P	
voiceless retroflex sibilant affricate consonant	consonant	ʈʂ	LATIN SMALL LETTER T WITH RETROFLEX HOOK / LATIN SMALL LETTER S WITH HOOK	c̢,c̣,č̣,tʂ,ṭˢ,tᶳ,ʈʂ,ʈ͡ʂ,ʈᶳ		asjp:C,beijingdaxue:tʂ,bipa:ʈʂ,color:#c89664,cv:C,dolgo:K,eurasian:tʂ,eurasian:ʈʂ,gld:c̢,lapsyd:ʈʂ,napa:č̣,nidaba:ʈ͡ʂ,panphon:ʈ͡ʂ,pbase:tʂ,pbase:ʈʂ,phoible:ʈʂ,prosody:2,ruhlen:c̣,ruhlen:č̣,ruhlen:ṭˢ,sca:C	
voiceless uvular stop consonant	consonant	q	LATIN SMALL LETTER Q	q,q͜,q͡		asjp:q,asjpcode:q,bipa:q,color:#c89664,cv:C,diachronica:q,diachronica:q͜,diachronica:q͡,dolgo:K,eurasian:q,gld:q,lapsyd:q,multimedia:q,napa:q,nidaba:q,panphon:q,pbase:q,phoible:q,prosody:1,ruhlen:q,sca:K	
voiced velar stop consonant	consonant	g	LATIN SMALL LETTER G	g,ɡ		asjp:g,asjpcode:g,beijingdaxue:g,bipa:g,color:#c89664,cv:C,diachronica:ɡ,dolgo:K,eurasian:g,eurasian:ɡ,gld:g,lapsyd:ɡ,multimedia:g,napa:g,nidaba:ɡ,panphon:ɡ,pbase:ɡ,phoible:ɡ,prosody:1,ruhlen:ɡ,sca:K	
voiced alveolar lateral approximant consonant	consonant	l	LATIN SMALL LETTER L	l		asjp:l,asjpcode:l,beijingdaxue:l,bipa:l,color:#6464c8,cv:C,diachronica:l,dolgo:R,eurasian:l,gld:l,lapsyd:l,multimedia:l,napa:l,nidaba:l,panphon:l,pbase:l,phoible:l,prosody:5,ruhlen:l,sca:L	
voiced alveolar nasal consonant	consonant	n	LATIN SMALL LETTER N	n		asjp:n,asjpcode:n,beijingdaxue:n,bipa:n,color:#64c8c8,cv:C,diachronica:n,dolgo:N,eurasian:n,gld:n,lapsyd:n,multimedia:n,napa:n,nidaba:n,panphon:n,pbase:n,phoible:n,prosody:4,ruhlen:n,sca:N	
