CLTS_NAME	BIPA_GRAPHEME	CV_CLASS	PROSODY_CLASS	SCA_CLASS	DOLGOPOLSKY_CLASS	ASJP_CLASS	COLOR_CLASS
voiced bilabial plosive consonant	b	C	1	P	P	b	#c8c864
voiced labiodental affricate consonant	bv	C	2	B	P	b	#c8c864
aspirated breathy-voiced bilabial plosive consonant	bʰ	C	1	P	P	b	#c8c864
aspirated long voiced bilabial plosive consonant	bːʰ	C	1	P	P	b	#c8c864
breathy-voiced bilabial plosive consonant	b̤	C	1	P	P	b	#c8c864
palatalized voiced bilabial plosive consonant	bʲ	C	1	P	P	b	#c8c864
labialized voiced bilabial plosive consonant	bʷ	C	1	P	P	b	#c8c864
long voiced bilabial plosive consonant	bː	C	1	P	P	b	#c8c864
long breathy-voiced bilabial plosive consonant	bːʱ	C	1	P	P	b	#c8c864
velarized voiced bilabial plosive consonant	bˠ	C	1	P	P	b	#c8c864
unreleased voiced bilabial plosive consonant	b̡	C	1	P	P	b	#c8c864
devoiced bilabial plosive consonant	b̥	C	1	P	P	b	#c8c864
aspirated devoiced bilabial plosive consonant	b̥ʰ	C	1	P	P	b	#c8c864
voiced bilabial affricate consonant	bβ	C	1	P	P	b	#c8c864
with-nasal-release voiced bilabial plosive consonant	bⁿ	C	1	P	P	b	#c8c864
voiceless palatal plosive consonant	c	C	1	C	K	T	#c89664
voiceless palatal affricate consonant	cç	C	1	C	K	T	#c89664
aspirated voiceless palatal plosive consonant	cʰ	C	1	C	K	T	#c89664
voiceless palatal ejective-plosive consonant	cʼ	C	1	C	K	T	#c89664
long voiceless palatal plosive consonant	cː	C	1	C	K	T	#c89664
voiced alveolar plosive consonant	d	C	1	T	T	d	#9664c8
voiced alveolar affricate consonant	dz	C	2	C	K	j	#c89664
voiced dental non-sibilant_affricate consonant	dð	C	1	T	T	d	#9664c8
voiced alveolar lateral-affricate consonant	dɮ	C	1	T	T	d	#9664c8
voiced alveolo-palatal affricate consonant	dʑ	C	2	C	K	j	#c89664
voiced postalveolar affricate consonant	dʒ	C	1	T	T	d	#9664c8
palatalized voiced postalveolar affricate consonant	dʒʲ	C	1	T	T	d	#9664c8
aspirated voiced alveolar plosive consonant	dʰ	C	1	T	T	d	#9664c8
aspirated long voiced alveolar plosive consonant	dːʰ	C	1	T	T	d	#9664c8
breathy-voiced alveolar plosive consonant	d̤	C	1	T	T	d	#9664c8
palatalized voiced alveolar plosive consonant	dʲ	C	1	T	T	d	#9664c8
long voiced alveolar plosive consonant	dː	C	1	T	T	d	#9664c8
long voiced alveolar affricate consonant	dːz	C	1	T	T	d	#9664c8
long voiced alveolo-palatal affricate consonant	dːʑ	C	1	T	T	d	#9664c8
long voiced postalveolar affricate consonant	dːʒ	C	1	T	T	d	#9664c8
long breathy-voiced alveolar plosive consonant	d̤ː	C	1	T	T	d	#9664c8
pharyngealized voiced alveolar plosive consonant	dˤ	C	1	T	T	d	#9664c8
voiced postalveolar plosive consonant	d̠	C	1	T	T	d	#9664c8
breathy-voiced postalveolar affricate consonant	d̤ʒ	C	1	T	T	d	#9664c8
unreleased devoiced alveolar plosive consonant	d̥̚	C	1	T	T	d	#9664c8
with-nasal-release devoiced alveolar plosive consonant	d̥ⁿ	C	1	T	T	d	#9664c8
voiced dental plosive consonant	d̪	C	1	T	T	d	#9664c8
breathy-voiced dental plosive consonant	d̪̈	C	1	T	T	d	#9664c8
velarized voiced dental plosive consonant	d̪ˠ	C	1	T	T	d	#9664c8
unreleased voiced dental plosive consonant	d̪̚	C	1	T	T	d	#9664c8
creaky-voiced alveolar plosive consonant	d̰	C	1	T	T	d	#9664c8
voiced lamino-dental plosive consonant	d̻	C	1	T	T	d	#9664c8
with-nasal-release voiced alveolar plosive consonant	dⁿ	C	1	T	T	d	#9664c8
voiceless labiodental fricative consonant	f	C	3	B	P	f	#c8c864
aspirated voiceless labiodental fricative consonant	fʰ	C	3	B	P	f	#c8c864
palatalized voiceless labiodental fricative consonant	fʲ	C	3	B	P	f	#c8c864
voiceless labiodental ejective-fricative consonant	fʼ	C	3	B	P	f	#c8c864
long voiceless labiodental fricative consonant	fː	C	3	B	P	f	#c8c864
velarized voiceless labiodental fricative consonant	fˠ	C	3	B	P	f	#c8c864
voiced velar plosive consonant	g	C	1	K	K	g	#c89664
voiced velar affricate consonant	gɣ	C	1	K	K	g	#c89664
breathy-voiced velar plosive consonant	g̈	C	1	K	K	g	#c89664
palatalized voiceless velare plosive consonant	gʲ	C	1	K	K	g	#c89664
labialized voiced velar plosive consonant	gʷ	C	1	K	K	g	#c89664
long voiced velar plosive consonant	gː	C	1	K	K	g	#c89664
devoiced velar plosive consonant	g̊	C	1	K	K	g	#c89664
aspirated devoiced velar plosive consonant	g̊ʰ	C	1	K	K	g	#c89664
voiceless glottal fricative consonant	h	C	3	H	H	h	#96c864
nasalized voiceless glottal fricative consonant	h̃	C	3	H	H	h	#96c864
voiced palatal approximant consonant	j	C	6	J	J	y	#64c864
long voiced palatal approximant consonant	jː	C	6	J	J	y	#64c864
nasalized voiced palatal approximant consonant	j̃	C	6	J	J	y	#64c864
voiceless velar plosive consonant	k	C	1	K	K	k	#c89664
voiceless velar affricate consonant	kx	C	1	K	K	k	#c89664
aspirated voiceless velar plosive consonant	kʰ	C	1	K	K	k	#c89664
palatalized voiceless velar plosive consonant	kʲ	C	1	K	K	k	#c89664
labialized voiceless velar plosive consonant	kʷ	C	1	K	K	k	#c89664
labialized aspirated voiceless velar plosive consonant	kʷʰ	C	1	K	K	k	#c89664
labialized long voiceless velar plosive consonant	kʷː	C	1	K	K	k	#c89664
voiceless velar ejective-plosive consonant	kʼ	C	1	K	K	k	#c89664
labialized voiceless velar ejective-plosive consonant	kʼʷ	C	1	K	K	k	#c89664
long voiceless velar plosive consonant	kː	C	1	K	K	k	#c89664
unreleased voiceless velar plosive consonant	k̚	C	1	K	K	k	#c89664
