ID	non_ipa	ipa	chart	height/manner	place/color	misc1	misc2
1	ndz	ⁿdz	consonant	affricate	alveolar	voiced	prenasalized
2	nts	ⁿts	consonant	affricate	alveolar	voiceless	prenasalized
3	nts'	ⁿtsʼ	consonant	affricate	alveolar	voiceless	glottalized_prenasalized
4	nts’	ⁿtsʼ	consonant	affricate	alveolar	voiceless	glottalized_prenasalized
5	dz	dz	consonant	affricate	alveolar	voiced	plain
6	dzH	dzʰ	consonant	affricate	alveolar	voiced	aspirated
7	dzw	dzʷ	consonant	affricate	alveolar	voiced	labialized
8	dz'	dzʼ	consonant	affricate	alveolar	voiced	glottalized
9	dz’	dzʼ	consonant	affricate	alveolar	voiced	glottalized
10	dzj	dzʲ	consonant	affricate	alveolar	voiced	palatalized
11	mdz	dz	consonant	affricate	alveolar	voiced	labial_prenasalized
12	mts	ts	consonant	affricate	alveolar	voiceless	labial_prenasalized
13	ts	ts	consonant	affricate	alveolar	voiceless	plain
14	tsH	tsʰ	consonant	affricate	alveolar	voiceless	aspirated
15	tshw	tsʰʷ	consonant	affricate	alveolar	voiceless	aspirated_labialized
16	tsw	tsʷ	consonant	affricate	alveolar	voiceless	labialized
17	ts'	tsʼ	consonant	affricate	alveolar	voiceless	glottalized
18	ts’	tsʼ	consonant	affricate	alveolar	voiceless	glottalized
19	ts’w	tsʼʷ	consonant	affricate	alveolar	voiceless	glottalized_labialized
20	ts'w	tsʼʷ	consonant	affricate	alveolar	voiceless	glottalized_labialized
21	tsj	tsʲ	consonant	affricate	alveolar	voiceless	palatalized
22	ts$	ts̀	consonant	affricate	alveolar	voiceless	tense
23	tsjh	tsjʰ	consonant	affricate	alveolar	voiceless	aspirated_palatalized
24	tswh	tswʰ	consonant	affricate	alveolar	voiceless	aspirated_labialized
25	tz	tz	consonant	affricate	alveolar	voiceless_to_voiced	plain
26	tz'	tzʼ	consonant	affricate	alveolar	voiceless_to_voiced	glottalized
27	tz’	tzʼ	consonant	affricate	alveolar	voiceless_to_voiced	glottalized
28	tþç	tɕɥ	consonant	affricate	alveolar_to_alveolopalatal	voiceless	labiopalatalized
29	ndB	ⁿdβ	consonant	affricate	alveolar_to_bilabial	voiced	prenasalized
30	nt¸	ⁿtɸ	consonant	affricate	alveolar_to_bilabial	voiceless	prenasalized
