CLTS_NAME	BIPA_GRAPHEME	FREQUENCY	GRAPHEME
voiceless alveolar click consonant	ǃ	173	!
aspirated voiceless alveolar click consonant	ǃʰ	262	!ʰ
breathy voiceless alveolar click consonant	ǃʱ	178	!ʱ
glottalized voiceless alveolar click consonant	ǃˀ	255	!ˀ
glottalized aspirated voiceless alveolar click consonant	ǃʰˀ	231	!ˀʰ
front unrounded open front vowel	a	154	a
long front unrounded open front vowel	aː	151	aː
front breathy unrounded open front vowel	a̤	147	a̤
front creaky unrounded open front vowel	a̰	155	a̰
voiced bilabial stop consonant	b	641	b
from voiced bilabial stop to voiced alveolar stop cluster	bd	669	bd
from voiced bilabial stop to voiced dental implosive cluster	bɗ	703	bɗ
from voiced bilabial stop to voiced alveolar lateral fricative cluster	bɮ	461	bɮ
labialized voiced bilabial stop consonant	bʷ	612	bʷ
glottalized voiced bilabial stop consonant	bˀ	591	bˀ
breathy voiced bilabial stop consonant	bʱ	652	b̤
creaky voiced bilabial stop consonant	b̰	637	b̰
voiced bilabial affricate consonant	bβ	77	bᵝ
voiceless palatal stop consonant	c	642	c
aspirated voiceless palatal stop consonant	cʰ	685	cʰ
palatalized voiceless palatal stop consonant	cʲ	476	cʲ
palatalized labialized voiceless palatal stop consonant	cʲʷ	469	cʲʷ
palatalized long voiceless palatal stop consonant	cʲː	473	cʲː
labialized voiceless palatal stop consonant	cʷ	485	cʷ
glottalized voiceless palatal stop consonant	cˀ	626	cˀ
long voiceless palatal stop consonant	cː	681	cː
long voiceless palatal stop consonant	cː	480	cːː
devoiced voiceless palatal stop consonant	c̥	470	c̥
voiceless palatal sibilant fricative consonant	ç	324	ç
long voiceless palatal sibilant fricative consonant	çː	391	çː
voiced alveolar stop consonant	d	643	d
palatalized voiced alveolar stop consonant	dʲ	574	dʲ
glottalized voiced alveolar stop consonant	dˀ	570	dˀ
with-lateral-release voiced alveolar stop consonant	dˡ	52	dˡ
breathy voiced alveolar stop consonant	dʱ	631	d̤
voiced dental stop consonant	d̪	589	d̪
breathy voiced dental stop consonant	d̪ʱ	675	d̪̤
creaky voiced alveolar stop consonant	d̰	603	d̰
voiced dental affricate consonant	dð	116	dᶞ
voiced alveolar sibilant affricate consonant	dz	78	dᶻ
front unrounded close-mid front vowel	e	400	e
front breathy unrounded close-mid front vowel	e̤	404	e̤
front creaky unrounded close-mid front vowel	ḛ	414	ḛ
voiceless labio-dental fricative consonant	f	337	f
aspirated voiceless labio-dental fricative consonant	fʰ	362	fʰ
labialized voiceless labio-dental fricative consonant	fʷ	333	fʷ
glottalized voiceless labio-dental fricative consonant	fˀ	388	fˀ
voiceless glottal fricative consonant	h	338	h
palatalized voiceless glottal fricative consonant	hʲ	387	hʲ
labialized voiceless glottal fricative consonant	hʷ	372	hʷ
front unrounded close front vowel	i	401	i
front breathy unrounded close front vowel	i̤	402	i̤
retracted front unrounded close front vowel	i̠	399	i̱
voiced palatal approximant consonant	j	418	j
glottalized voiced palatal approximant consonant	jˀ	426	jˀ
devoiced voiced palatal approximant consonant	j̊	419	j̥
voiceless velar stop consonant	k	648	k
from voiceless velar stop to voiceless bilabial stop cluster	kp	580	kp
from voiceless velar stop to labialized voiceless bilabial stop cluster	kpʷ	664	kpʷ
from voiceless velar stop to voiceless alveolar stop cluster	kt	582	kt
aspirated voiceless velar stop consonant	kʰ	640	kʰ
labialized aspirated voiceless velar stop consonant	kʷʰ	644	kʰʷ
palatalized voiceless velar stop consonant	kʲ	680	kʲ
labialized voiceless velar stop consonant	kʷ	560	kʷ
glottalized voiceless velar stop consonant	kˀ	608	kˀ
palatalized glottalized voiceless velar stop consonant	kʲˀ	698	kˀʲ
labialized glottalized voiceless velar stop consonant	kʷˀ	700	kˀʷ
long voiceless velar stop consonant	kː	655	kː
with-lateral-release voiceless velar stop consonant	kˡ	14	kˡ
glottalized with-lateral-release voiceless velar stop consonant	kˀˡ	25	kˡˀ
voiceless velar affricate consonant	kx	123	kˣ
voiced alveolar lateral approximant consonant	l	439	l
palatalized voiced alveolar lateral approximant consonant	lʲ	464	lʲ
glottalized voiced alveolar lateral approximant consonant	lˀ	459	lˀ
syllabic voiced alveolar lateral approximant consonant	l̩	462	ḷ
breathy voiced alveolar lateral approximant consonant	lʱ	443	l̤
