CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	URL
devoiced voiced bilabial nasal consonant	m̥	m̥	https://chridd.nfshost.com/diachronica/search?q=m%cc%a5
voiced bilabial nasal consonant	m	m	https://chridd.nfshost.com/diachronica/search?q=m
glottalized voiced bilabial nasal consonant	mˀ	mˀ	https://chridd.nfshost.com/diachronica/search?q=m%cb%80
long voiced bilabial nasal consonant	mː	mː	https://chridd.nfshost.com/diachronica/search?q=m%cb%90
pharyngealized voiced bilabial nasal consonant	mˤ	mˤ	https://chridd.nfshost.com/diachronica/search?q=m%cb%a4
syllabic voiced bilabial nasal consonant	m̩	m̩	https://chridd.nfshost.com/diachronica/search?q=m%cc%a9
palatalized voiced bilabial nasal consonant	mʲ	mʲ	https://chridd.nfshost.com/diachronica/search?q=m%ca%b2
labialized voiced bilabial nasal consonant	mʷ	mʷ	https://chridd.nfshost.com/diachronica/search?q=m%ca%b7
voiced labio-dental nasal consonant	ɱ	ɱ	https://chridd.nfshost.com/diachronica/search?q=%c9%b1
voiced dental nasal consonant	n̪	n̪	https://chridd.nfshost.com/diachronica/search?q=n%cc%aa
devoiced voiced alveolar nasal consonant	n̥	n̥	https://chridd.nfshost.com/diachronica/search?q=n%cc%a5
voiced alveolar nasal consonant	n	n	https://chridd.nfshost.com/diachronica/search?q=n
glottalized voiced alveolar nasal consonant	nˀ	nˀ	https://chridd.nfshost.com/diachronica/search?q=n%cb%80
long voiced alveolar nasal consonant	nː	nː	https://chridd.nfshost.com/diachronica/search?q=n%cb%90
syllabic voiced alveolar nasal consonant	n̩	n̩	https://chridd.nfshost.com/diachronica/search?q=n%cc%a9
syllabic long voiced alveolar nasal consonant	n̩ː	n̩ː	https://chridd.nfshost.com/diachronica/search?q=n%cc%a9%cb%90
palatalized voiced alveolar nasal consonant	nʲ	nʲ	https://chridd.nfshost.com/diachronica/search?q=n%ca%b2
voiced retroflex nasal consonant	ɳ	ɳ	https://chridd.nfshost.com/diachronica/search?q=%c9%b3
long voiced retroflex nasal consonant	ɳː	ɳː	https://chridd.nfshost.com/diachronica/search?q=%c9%b3%cb%90
devoiced voiced palatal nasal consonant	ɲ̊	ɲ̊	https://chridd.nfshost.com/diachronica/search?q=%c9%b2%cc%8a
voiced palatal nasal consonant	ɲ	ɲ	https://chridd.nfshost.com/diachronica/search?q=%c9%b2
long voiced palatal nasal consonant	ɲː	ɲː	https://chridd.nfshost.com/diachronica/search?q=%c9%b2%cb%90
devoiced voiced velar nasal consonant	ŋ̊	ŋ̊	https://chridd.nfshost.com/diachronica/search?q=%c5%8b%cc%8a
voiced velar nasal consonant	ŋ	ŋ	https://chridd.nfshost.com/diachronica/search?q=%c5%8b
long voiced velar nasal consonant	ŋː	ŋː	https://chridd.nfshost.com/diachronica/search?q=%c5%8b%cb%90
syllabic voiced velar nasal consonant	ŋ̍	ŋ̩	https://chridd.nfshost.com/diachronica/search?q=%c5%8b%cc%a9
labialized voiced velar nasal consonant	ŋʷ	ŋʷ	https://chridd.nfshost.com/diachronica/search?q=%c5%8b%ca%b7
voiced uvular nasal consonant	ɴ	ɴ	https://chridd.nfshost.com/diachronica/search?q=%c9%b4
voiceless bilabial stop consonant	p	p	https://chridd.nfshost.com/diachronica/search?q=p
aspirated voiceless bilabial stop consonant	pʰ	pʰ	https://chridd.nfshost.com/diachronica/search?q=p%ca%b0
long voiceless bilabial stop consonant	pː	pː	https://chridd.nfshost.com/diachronica/search?q=p%cb%90
pharyngealized voiceless bilabial stop consonant	pˤ	pˤ	https://chridd.nfshost.com/diachronica/search?q=p%cb%a4
pharyngealized long voiceless bilabial stop consonant	pˤː	pˤː	https://chridd.nfshost.com/diachronica/search?q=p%cb%a4%cb%90
palatalized voiceless bilabial stop consonant	pʲ	pʲ	https://chridd.nfshost.com/diachronica/search?q=p%ca%b2
