CLTS_NAME	BIPA_GRAPHEME	EURASIAN_URL	EURASIAN_GRAPHEME
voiceless bilabial stop consonant	p	http://eurasianphonology.info/search_exact?dialects=True&query=p	p
voiced bilabial stop consonant	b	http://eurasianphonology.info/search_exact?dialects=True&query=b	b
voiced bilabial nasal consonant	m	http://eurasianphonology.info/search_exact?dialects=True&query=m	m
voiceless labio-dental fricative consonant	f	http://eurasianphonology.info/search_exact?dialects=True&query=f	f
voiced labio-dental fricative consonant	v	http://eurasianphonology.info/search_exact?dialects=True&query=v	v
voiced dental fricative consonant	ð	http://eurasianphonology.info/search_exact?dialects=True&query=ð	ð
voiceless alveolar stop consonant	t	http://eurasianphonology.info/search_exact?dialects=True&query=t	t
voiced alveolar stop consonant	d	http://eurasianphonology.info/search_exact?dialects=True&query=d	d
voiced alveolar nasal consonant	n	http://eurasianphonology.info/search_exact?dialects=True&query=n	n
voiced alveolar trill consonant	r	http://eurasianphonology.info/search_exact?dialects=True&query=r	r
voiceless alveolar sibilant fricative consonant	s	http://eurasianphonology.info/search_exact?dialects=True&query=s	s
voiced alveolar sibilant fricative consonant	z	http://eurasianphonology.info/search_exact?dialects=True&query=z	z
voiceless alveolar sibilant affricate consonant	ts	http://eurasianphonology.info/search_exact?dialects=True&query=ts	ts
voiced alveolar sibilant affricate consonant	dz	http://eurasianphonology.info/search_exact?dialects=True&query=dz	dz
voiced alveolar lateral approximant consonant	l	http://eurasianphonology.info/search_exact?dialects=True&query=l	l
voiceless post-alveolar sibilant fricative consonant	ʃ	http://eurasianphonology.info/search_exact?dialects=True&query=ʃ	ʃ
voiced post-alveolar sibilant fricative consonant	ʒ	http://eurasianphonology.info/search_exact?dialects=True&query=ʒ	ʒ
voiceless post-alveolar sibilant affricate consonant	tʃ	http://eurasianphonology.info/search_exact?dialects=True&query=tʃ	tʃ
voiced post-alveolar sibilant affricate consonant	dʒ	http://eurasianphonology.info/search_exact?dialects=True&query=dʒ	dʒ
voiceless palatal stop consonant	c	http://eurasianphonology.info/search_exact?dialects=True&query=c	c
voiced palatal stop consonant	ɟ	http://eurasianphonology.info/search_exact?dialects=True&query=ɟ	ɟ
voiced palatal nasal consonant	ɲ	http://eurasianphonology.info/search_exact?dialects=True&query=ɲ	ɲ
voiced palatal fricative consonant	ʝ	http://eurasianphonology.info/search_exact?dialects=True&query=ʝ	ʝ
voiced palatal approximant consonant	j	http://eurasianphonology.info/search_exact?dialects=True&query=j	j
voiced palatal lateral approximant consonant	ʎ	http://eurasianphonology.info/search_exact?dialects=True&query=ʎ	ʎ
voiceless velar stop consonant	k	http://eurasianphonology.info/search_exact?dialects=True&query=k	k
voiced velar stop consonant	g	http://eurasianphonology.info/search_exact?dialects=True&query=g	g
voiced velar nasal consonant	ŋ	http://eurasianphonology.info/search_exact?dialects=True&query=ŋ	ŋ
voiceless velar fricative consonant	x	http://eurasianphonology.info/search_exact?dialects=True&query=x	x
voiced velar fricative consonant	ɣ	http://eurasianphonology.info/search_exact?dialects=True&query=ɣ	ɣ
voiced labialized-velar approximant consonant	w	http://eurasianphonology.info/search_exact?dialects=True&query=w	w
palatalized voiceless bilabial stop consonant	pʲ	http://eurasianphonology.info/search_exact?dialects=True&query=pʲ	pʲ
palatalized voiced bilabial stop consonant	bʲ	http://eurasianphonology.info/search_exact?dialects=True&query=bʲ	bʲ
palatalized voiced bilabial nasal consonant	mʲ	http://eurasianphonology.info/search_exact?dialects=True&query=mʲ	mʲ
palatalized voiceless labio-dental fricative consonant	fʲ	http://eurasianphonology.info/search_exact?dialects=True&query=fʲ	fʲ
palatalized voiced labio-dental fricative consonant	vʲ	http://eurasianphonology.info/search_exact?dialects=True&query=vʲ	vʲ
palatalized voiced dental fricative consonant	ðʲ	http://eurasianphonology.info/search_exact?dialects=True&query=ðʲ	ðʲ
palatalized voiceless alveolar stop consonant	tʲ	http://eurasianphonology.info/search_exact?dialects=True&query=tʲ	tʲ
palatalized voiced alveolar stop consonant	dʲ	http://eurasianphonology.info/search_exact?dialects=True&query=dʲ	dʲ
palatalized voiced alveolar nasal consonant	nʲ	http://eurasianphonology.info/search_exact?dialects=True&query=nʲ	nʲ
palatalized voiced alveolar trill consonant	rʲ	http://eurasianphonology.info/search_exact?dialects=True&query=rʲ	rʲ
palatalized voiceless alveolar sibilant fricative consonant	sʲ	http://eurasianphonology.info/search_exact?dialects=True&query=sʲ	sʲ
palatalized voiced alveolar sibilant fricative consonant	zʲ	http://eurasianphonology.info/search_exact?dialects=True&query=zʲ	zʲ
palatalized voiceless alveolar sibilant affricate consonant	tsʲ	http://eurasianphonology.info/search_exact?dialects=True&query=tsʲ	tsʲ
palatalized voiced alveolar sibilant affricate consonant	dzʲ	http://eurasianphonology.info/search_exact?dialects=True&query=dzʲ	dzʲ
palatalized voiced alveolar lateral approximant consonant	lʲ	http://eurasianphonology.info/search_exact?dialects=True&query=lʲ	lʲ
palatalized voiceless post-alveolar sibilant fricative consonant	ʃʲ	http://eurasianphonology.info/search_exact?dialects=True&query=ʃʲ	ʃʲ
palatalized voiced post-alveolar sibilant fricative consonant	ʒʲ	http://eurasianphonology.info/search_exact?dialects=True&query=ʒʲ	ʒʲ
palatalized voiceless post-alveolar sibilant affricate consonant	tʃʲ	http://eurasianphonology.info/search_exact?dialects=True&query=tʃʲ	tʃʲ
palatalized voiced post-alveolar sibilant affricate consonant	dʒʲ	http://eurasianphonology.info/search_exact?dialects=True&query=dʒʲ	dʒʲ
voiceless palatal sibilant fricative consonant	ç	http://eurasianphonology.info/search_exact?dialects=True&query=ç	ç
front unrounded close front vowel	i	http://eurasianphonology.info/search_exact?dialects=True&query=i	i
front unrounded open-mid front vowel	ɛ	http://eurasianphonology.info/search_exact?dialects=True&query=ɛ	ɛ
front unrounded close-mid front vowel	e	http://eurasianphonology.info/search_exact?dialects=True&query=e	e
front advanced unrounded open front vowel	a̟	http://eurasianphonology.info/search_exact?dialects=True&query=a̟	a̟
central unrounded nearly-open central vowel	ɐ	http://eurasianphonology.info/search_exact?dialects=True&query=ɐ	ɐ
central unrounded mid central vowel	ə	http://eurasianphonology.info/search_exact?dialects=True&query=ə	ə
back unrounded open back vowel	ɑ	http://eurasianphonology.info/search_exact?dialects=True&query=ɑ	ɑ
back rounded open-mid back vowel	ɔ	http://eurasianphonology.info/search_exact?dialects=True&query=ɔ	ɔ
back rounded close-mid back vowel	o	http://eurasianphonology.info/search_exact?dialects=True&query=o	o
back rounded close back vowel	u	http://eurasianphonology.info/search_exact?dialects=True&query=u	u
ultra-short back unrounded open back vowel	ɑ̆	http://eurasianphonology.info/search_exact?dialects=True&query=ɑ̆	ɑ̆
ultra-short front unrounded close-mid front vowel	ĕ	http://eurasianphonology.info/search_exact?dialects=True&query=ĕ	ĕ
from front unrounded open-mid front to front advanced unrounded open front diphthong	ɛa̟	http://eurasianphonology.info/search_exact?dialects=True&query=ɛa̟	ɛa̟
from front unrounded open-mid front to central unrounded nearly-open central diphthong	ɛɐ	http://eurasianphonology.info/search_exact?dialects=True&query=ɛɐ	ɛɐ
from front unrounded close front to central unrounded nearly-open central diphthong	iɐ	http://eurasianphonology.info/search_exact?dialects=True&query=iɐ	iɐ
from front unrounded close front to central unrounded mid central diphthong	iə	http://eurasianphonology.info/search_exact?dialects=True&query=iə	iə
from back rounded close back to central unrounded mid central diphthong	uə	http://eurasianphonology.info/search_exact?dialects=True&query=uə	uə
from back rounded close back to central unrounded nearly-open central diphthong	uɐ	http://eurasianphonology.info/search_exact?dialects=True&query=uɐ	uɐ
from back rounded close back to front advanced unrounded open front diphthong	ua̟	http://eurasianphonology.info/search_exact?dialects=True&query=ua̟	ua̟
from back rounded close back to back rounded open-mid back diphthong	uɔ	http://eurasianphonology.info/search_exact?dialects=True&query=uɔ	uɔ
from back rounded close back to front unrounded close-mid front diphthong	ue	http://eurasianphonology.info/search_exact?dialects=True&query=ue	ue
from front unrounded close front to front unrounded close-mid front diphthong	ie	http://eurasianphonology.info/search_exact?dialects=True&query=ie	ie
long front unrounded close front vowel	iː	http://eurasianphonology.info/search_exact?dialects=True&query=ii	ii
from back rounded close back to front unrounded close front diphthong	ui	http://eurasianphonology.info/search_exact?dialects=True&query=ui	ui
voiceless apical alveolar sibilant fricative consonant	s̺	http://eurasianphonology.info/search_exact?dialects=True&query=s̺	s̺
voiceless alveolo-palatal sibilant affricate consonant	tɕ	http://eurasianphonology.info/search_exact?dialects=True&query=tɕ	tɕ
voiceless glottal stop consonant	ʔ	http://eurasianphonology.info/search_exact?dialects=True&query=ʔ	ʔ
central unrounded close central vowel	ɨ	http://eurasianphonology.info/search_exact?dialects=True&query=ɨ	ɨ
back advanced rounded close back vowel	u̟	http://eurasianphonology.info/search_exact?dialects=True&query=u̟	u̟
front rounded close front vowel	y	http://eurasianphonology.info/search_exact?dialects=True&query=y	y
back less-rounded advanced rounded open-mid back vowel	ɔ̜̟	http://eurasianphonology.info/search_exact?dialects=True&query=ɔ̟̜	ɔ̟̜
front unrounded open front vowel	a	http://eurasianphonology.info/search_exact?dialects=True&query=a	a
from non-syllabic back rounded close back to back unrounded open back diphthong	u̯ɑ	http://eurasianphonology.info/search_exact?dialects=True&query=u̯ɑ	u̯ɑ
voiceless dental stop consonant	t̪	http://eurasianphonology.info/search_exact?dialects=True&query=t̪	t̪
voiced dental stop consonant	d̪	http://eurasianphonology.info/search_exact?dialects=True&query=d̪	d̪
devoiced voiced alveolar tap consonant	ɾ	http://eurasianphonology.info/search_exact?dialects=True&query=ɾ	ɾ
devoiced voiced bilabial stop consonant	b̥	http://eurasianphonology.info/search_exact?dialects=True&query=b̥	b̥
voiceless labio-dental affricate consonant	pf	http://eurasianphonology.info/search_exact?dialects=True&query=pf	pf
devoiced voiced labio-dental fricative consonant	v̥	http://eurasianphonology.info/search_exact?dialects=True&query=v̥	v̥
voiced labio-dental approximant consonant	ʋ	http://eurasianphonology.info/search_exact?dialects=True&query=ʋ	ʋ
devoiced voiced alveolar stop consonant	d̥	http://eurasianphonology.info/search_exact?dialects=True&query=d̥	d̥
voiced uvular trill consonant	ʀ	http://eurasianphonology.info/search_exact?dialects=True&query=ʀ	ʀ
devoiced voiced alveolar sibilant fricative consonant	z̥	http://eurasianphonology.info/search_exact?dialects=True&query=z̥	z̥
devoiced voiced post-alveolar sibilant fricative consonant	ʒ̊	http://eurasianphonology.info/search_exact?dialects=True&query=ʒ̊	ʒ̊
devoiced voiced velar stop consonant	g̊	http://eurasianphonology.info/search_exact?dialects=True&query=g̊	g̊
voiceless velar affricate consonant	kx	http://eurasianphonology.info/search_exact?dialects=True&query=kx	kx
devoiced voiced velar fricative consonant	ɣ̊	http://eurasianphonology.info/search_exact?dialects=True&query=ɣ̊	ɣ̊
voiceless glottal fricative consonant	h	http://eurasianphonology.info/search_exact?dialects=True&query=h	h
long front unrounded close front vowel	iː	http://eurasianphonology.info/search_exact?dialects=True&query=iː	iː
long front unrounded close-mid front vowel	eː	http://eurasianphonology.info/search_exact?dialects=True&query=eː	eː
long front unrounded open-mid front vowel	ɛː	http://eurasianphonology.info/search_exact?dialects=True&query=ɛː	ɛː
front unrounded nearly-open front vowel	æ	http://eurasianphonology.info/search_exact?dialects=True&query=æ	æ
long front unrounded nearly-open front vowel	æː	http://eurasianphonology.info/search_exact?dialects=True&query=æː	æː
long front rounded close front vowel	yː	http://eurasianphonology.info/search_exact?dialects=True&query=yː	yː
front rounded close-mid front vowel	ø	http://eurasianphonology.info/search_exact?dialects=True&query=ø	ø
long front rounded close-mid front vowel	øː	http://eurasianphonology.info/search_exact?dialects=True&query=øː	øː
long front rounded open-mid front vowel	œː	http://eurasianphonology.info/search_exact?dialects=True&query=œː	œː
long back rounded close back vowel	uː	http://eurasianphonology.info/search_exact?dialects=True&query=uː	uː
long back rounded close-mid back vowel	oː	http://eurasianphonology.info/search_exact?dialects=True&query=oː	oː
back rounded open back vowel	ɒ	http://eurasianphonology.info/search_exact?dialects=True&query=ɒ	ɒ
long back rounded open back vowel	ɒː	http://eurasianphonology.info/search_exact?dialects=True&query=ɒː	ɒː
from front unrounded close-mid front to non-syllabic front unrounded close front diphthong	ei̯	http://eurasianphonology.info/search_exact?dialects=True&query=ei̯	ei̯
from front unrounded nearly-open front to non-syllabic front unrounded close front diphthong	æi̯	http://eurasianphonology.info/search_exact?dialects=True&query=æi̯	æi̯
from back rounded close-mid back to non-syllabic front unrounded close front diphthong	oi̯	http://eurasianphonology.info/search_exact?dialects=True&query=oi̯	oi̯
from front unrounded close front to non-syllabic central unrounded mid central diphthong	iə̯	http://eurasianphonology.info/search_exact?dialects=True&query=iə̯	iə̯
from front rounded close front to non-syllabic central unrounded mid central diphthong	yə̯	http://eurasianphonology.info/search_exact?dialects=True&query=yə̯	yə̯
