CLTS_NAME	BIPA_GRAPHEME	ID	GRAPHEME	FEATURES
voiced palatal stop consonant	ɟ	10	ɟ	pulmonic stop voiced palatal
voiced velar lateral approximant consonant	ʟ	101	ʟ	pulmonic approximant lateral voiced velar
voiced bilabial implosive consonant	ɓ	107	ɓ	implosive stop voiced bilabial
voiced dental implosive consonant	ɗ	109	ɗ	implosive stop voiced alveolar
voiceless velar stop consonant	k	11	k	pulmonic stop voiceless velar
voiced velar implosive consonant	ɠ	111	ɠ	implosive stop voiced velar
voiced uvular implosive consonant	ʛ	113	ʛ	implosive stop voiced uvular
voiced palatal implosive consonant	ʄ	117	ʄ	implosive stop voiced palatal
voiced retroflex tap consonant	ɽ	119	ɽ	pulmonic tap/flap voiced retroflex
devoiced voiced alveolar tap consonant	ɾ	121	ɾ	pulmonic tap/flap voiced alveolar
voiced alveolar lateral tap consonant	ɺ	127	ɺ	pulmonic tap/flap lateral alveolar
voiceless uvular stop consonant	q	13	q	pulmonic stop voiceless uvular
from voiced velar stop to voiced bilabial stop cluster	gb	130	ɡb	pulmonic stop voiced bilabial velar
voiced alveolar nasal-click consonant	ŋǃ	1338	ŋǃ	click nasal voiced palato-alveolar velar
voiced lateral nasal-click consonant	ŋǁ	1339	ŋǁ	click nasal lateral voiced alveolar velar
voiced palatal nasal-click consonant	ŋǂ	1340	ŋǂ	click nasal voiced palatal velar
voiced dental nasal-click consonant	ŋǀ	1341	ŋǀ	click nasal voiced dental velar
voiceless alveolar click consonant	ǃ	1342	kǃ	click stop voiceless palato-alveolar velar
voiceless lateral click consonant	ǁ	1343	kǁ	click stop lateral voiceless alveolar velar
voiceless palatal click consonant	ǂ	1344	kǂ	click stop voiceless palatal velar
voiceless dental click consonant	ǀ	1345	kǀ	click stop voiceless dental velar
from voiced velar implosive to voiced bilabial implosive cluster	ɠɓ	136	ɠɓ	implosive stop voiced bilabial velar
voiced alveolar click consonant	gǃ	1365	ɡǃ	click stop voiced palato-alveolar velar
voiced lateral click consonant	gǁ	1366	ɡǁ	click stop lateral voiced alveolar velar
voiced dental click consonant	gǀ	1367	ɡǀ	click stop voiced dental velar
voiceless post-alveolar sibilant affricate consonant	tʃ	138	t̠ʃ	pulmonic affricate sibilant voiceless palato-alveolar
voiced post-alveolar sibilant affricate consonant	dʒ	139	d̠ʒ	pulmonic affricate sibilant voiced palato-alveolar
voiced uvular stop consonant	ɢ	14	ɢ	pulmonic stop voiced uvular
voiced retroflex sibilant affricate consonant	ɖʐ	141	ɖʐ	pulmonic affricate sibilant voiced retroflex
voiceless alveolo-palatal sibilant affricate consonant	tɕ	144	tɕ	pulmonic affricate sibilant voiceless palatalized palato-alveolar
voiced alveolo-palatal sibilant affricate consonant	dʑ	145	dʑ	pulmonic affricate sibilant voiced palatalized palato-alveolar
from unrounded open front to unrounded near-close near-front diphthong	aɪ	1471	aɪ	diphtong lowered high low front central unrounded rising fronting
from unrounded open front to rounded near-close near-back diphthong	aʊ	1472	aʊ	diphtong lowered high low central back unrounded rounded rising backing rounding
from rounded open-mid back to unrounded near-close near-front diphthong	ɔɪ	1473	ɔɪ	diphtong lowered high lower mid front back unrounded rounded rising fronting unrounding
from unrounded close front to unrounded close central diphthong	iɨ	1474	iɨ	diphtong high front central unrounded backing
from rounded close-mid back to unrounded close front diphthong	oi	1478	oi	diphtong high higher mid front back unrounded rounded rising fronting unrounding
from rounded close front to rounded close-mid front diphthong	yø	1481	yø	diphtong high higher mid front rounded lowering
from unrounded close back to unrounded open front diphthong	ɯa	1482	ɯa	diphtong high low central back unrounded lowering fronting
from rounded close back to rounded close-mid back diphthong	uo	1483	uo	diphtong high higher mid back rounded lowering
from unrounded open-mid front to rounded close back diphthong	ɛu	1484	ɛu	diphtong high lower mid front back unrounded rounded rising backing rounding
from unrounded open front to rounded close-mid back diphthong	ao	1485	ao	diphtong higher mid low central back unrounded rounded rising backing rounding
from unrounded open-mid front to unrounded close front diphthong	ɛi	1486	ɛi	diphtong high lower mid front unrounded rising
from rounded open-mid back to rounded close back diphthong	ɔu	1495	ɔu	diphtong high lower mid back rounded rising
from rounded open-mid back to unrounded close front diphthong	ɔi	1497	ɔi	diphtong high lower mid front back unrounded rounded rising fronting unrounding
from nasalized unrounded open front to nasalized unrounded close front diphthong	ãĩ	1498	ãĩ	nasalized diphtong high low front central unrounded rising fronting
from nasalized unrounded close central to nasalized unrounded close front diphthong	ɨ̃ĩ	1499	ɨ̃ĩ	nasalized diphtong high front central unrounded fronting
voiceless glottal stop consonant	ʔ	15	ʔ	pulmonic stop voiceless glottal
from nasalized rounded close-mid back to nasalized unrounded close front diphthong	õĩ	1501	õĩ	nasalized diphtong high higher mid front back unrounded rounded rising fronting unrounding
from unrounded close-mid front to rounded close back diphthong	eu	1502	eu	diphtong high higher mid front back unrounded rounded rising backing rounding
from rounded near-close near-back to unrounded mid central diphthong	ʊə	1503	ʊə	diphtong lowered high higher mid central back unrounded rounded lowering fronting unrounding
from unrounded open-mid front to unrounded mid central diphthong	ɛə	1504	ɛə	diphtong higher mid lower mid front central unrounded rising backing
from rounded close-mid back to rounded near-close near-back diphthong	oʊ	1506	oʊ	diphtong lowered high higher mid back rounded rising
from unrounded close-mid front to unrounded near-close near-front diphthong	eɪ	1507	eɪ	diphtong lowered high higher mid front unrounded rising
from rounded close back to unrounded open-mid back diphthong	uʌ	1510	uʌ	diphtong high lower mid back unrounded rounded lowering unrounding
from unrounded close back to unrounded open-mid back diphthong	ɯʌ	1511	ɯʌ	diphtong high lower mid back unrounded lowering
from unrounded close front to unrounded open-mid back diphthong	iʌ	1512	iʌ	diphtong high lower mid front back unrounded lowering backing
from rounded open-mid back to unrounded open front diphthong	ɔa	1516	ɔa	diphtong lower mid low central back unrounded rounded lowering fronting unrounding
from unrounded open-mid central to unrounded close front diphthong	ɜi	1517	ɜi	diphtong high lower mid front central unrounded rising fronting
from unrounded mid central to unrounded close back diphthong	əɯ	1525	əɯ	diphtong high higher mid central back unrounded rising backing
from unrounded close front to rounded close-mid back diphthong	io	1541	io	diphtong high higher mid front back unrounded rounded lowering backing rounding
from unrounded close-mid back to unrounded close front diphthong	ɤi	1542	ɤi	diphtong high higher mid front back unrounded rising fronting
from unrounded open front to unrounded close central diphthong	aɨ	1544	aɨ	diphtong high low central unrounded rising
from unrounded mid central to unrounded close front diphthong	əi	1545	əi	diphtong high higher mid front central unrounded rising fronting
from unrounded open front to unrounded close-mid front diphthong	ae	1546	ae	diphtong higher mid low front central unrounded rising fronting
from unrounded close central to unrounded mid central diphthong	ɨə	1558	ɨə	diphtong high higher mid central unrounded lowering
from rounded close-mid front to rounded close front diphthong	øy	1559	øy	long diphtong high higher mid front rounded rising
from rounded open-mid front to rounded close front diphthong	œy	1560	œy	diphtong high lower mid front rounded rising
from unrounded open back to rounded close back diphthong	ɑu	1561	ɑu	diphtong high low back unrounded rounded rising rounding
from nasalized unrounded open front to nasalized rounded close back diphthong	ãũ	1563	ãũ	nasalized diphtong high low central back unrounded rounded rising backing rounding
from nasalized unrounded open front to nasalized rounded close central diphthong	ãʉ̃	1564	ãʉ̃	nasalized diphtong high low central unrounded rounded rising rounding
from nasalized unrounded open front to nasalized unrounded close-mid front diphthong	ãẽ	1565	ãẽ	nasalized diphtong higher mid low front central unrounded rising fronting
from unrounded open front to rounded close central diphthong	aʉ	1566	aʉ	diphtong high low central unrounded rounded rising rounding
from unrounded open front to unrounded mid central diphthong	aə	1567	aə	diphtong higher mid low central unrounded rising
from rounded close-mid back to unrounded close central diphthong	oɨ	1568	oɨ	diphtong high higher mid central back unrounded rounded rising fronting unrounding
from long unrounded open front to unrounded close central diphthong	aːɨ	1569	aːɨ	long diphtong high low central unrounded rising
from rounded close back to unrounded close central diphthong	uɨ	1570	uɨ	diphtong high central back unrounded rounded fronting unrounding
from unrounded mid central to unrounded close central diphthong	əɨ	1571	əɨ	diphtong high higher mid central unrounded rising
from unrounded close central to rounded close back diphthong	ɨu	1572	ɨu	diphtong high central back unrounded rounded backing rounding
from nasalized rounded close-mid back to nasalized unrounded open front diphthong	õã	1573	õã	nasalized diphtong higher mid low central back unrounded rounded lowering fronting unrounding
from rounded close-mid back to unrounded open front diphthong	oa	1575	oa	diphtong higher mid low central back unrounded rounded lowering fronting unrounding
from rounded close back to unrounded close-mid front diphthong	ue	1576	ue	diphtong high higher mid front back unrounded rounded lowering fronting unrounding
from nasalized rounded close back to nasalized unrounded close front diphthong	ũĩ	1577	ũĩ	nasalized diphtong high front back unrounded rounded fronting unrounding
from rounded close-mid back to unrounded close-mid front diphthong	oe	1578	oe	diphtong higher mid front back unrounded rounded fronting unrounding
voiceless velar affricate consonant	kx	158	kx	pulmonic affricate voiceless velar
from unrounded close-mid front to unrounded open front diphthong	ea	1580	ea	diphtong higher mid low front central unrounded lowering backing
from unrounded mid central to unrounded open front diphthong	əa	1591	əa	diphtong higher mid low central unrounded lowering
long rounded close back vowel	uː	1592	uu	diphtong high back rounded
from rounded close-mid front to unrounded close front diphthong	øi	1593	øi	diphtong high higher mid front unrounded rounded rising unrounding
long nasalized rounded close-mid back vowel	õː	1604	õː	nasalized long higher mid back rounded
nasalized unrounded close central vowel	ɨ̃	1611	ɨ̃	nasalized high central unrounded
long nasalized unrounded close-mid front vowel	ẽː	1612	ẽː	nasalized long higher mid front unrounded
long nasalized unrounded close back vowel	ɯ̃ː	1624	ɯ̃ː	nasalized long high back unrounded
long unrounded open-mid back vowel	ʌː	1626	ʌː	long lower mid back unrounded
long nasalized unrounded open-mid back vowel	ʌ̃ː	1627	ʌ̃ː	nasalized long lower mid back unrounded
long unrounded close-mid back vowel	ɤː	1632	ɤː	long higher mid back unrounded
ultra-short rounded close-mid front vowel	ø̆	1637	ø̆	overshort higher mid front rounded
ultra-short rounded open-mid back vowel	ɔ̆	1638	ɔ̆	overshort lower mid back rounded
long rounded close-mid front vowel	øː	1645	øː	long higher mid front rounded
long rounded close front vowel	yː	1646	yː	long high front rounded
long rounded open-mid front vowel	œː	1647	œː	long lower mid front rounded
creaky unrounded close front vowel	ḭ	1649	ḭ	laryngealized high front unrounded
creaky unrounded close-mid front vowel	ḛ	1650	ḛ	laryngealized higher mid front unrounded
creaky unrounded close central vowel	ɨ̰	1652	ɨ̰	laryngealized high central unrounded
creaky unrounded open front vowel	a̰	1654	a̰	laryngealized low central unrounded
creaky rounded close-mid back vowel	o̰	1656	o̰	laryngealized higher mid back rounded
creaky rounded close back vowel	ṵ	1657	ṵ	laryngealized high back rounded
breathy unrounded nearly-open front vowel	æ̤	1660	æ̤	breathy voiced raised low front unrounded
nasalized creaky unrounded close front vowel	ḭ̃	1668	ḭ̃	nasalized laryngealized high front unrounded
nasalized rounded close-mid front vowel	ø̃	1680	ø̃	nasalized higher mid front rounded
nasalized rounded close central vowel	ʉ̃	1681	ʉ̃	nasalized high central rounded
long creaky unrounded open front vowel	a̰ː	1682	a̰ː	laryngealized long low central unrounded
long creaky rounded close back vowel	ṵː	1683	ṵː	laryngealized long high back rounded
long creaky unrounded close front vowel	ḭː	1684	ḭː	laryngealized long high front unrounded
pharyngealized unrounded open front vowel	aˤ	1685	aˤ	pharyngealized  low central unrounded
nasalized creaky unrounded close-mid front vowel	ḛ̃	1688	ḛ̃	nasalized laryngealized higher mid front unrounded
nasalized creaky unrounded close central vowel	ɨ̰̃	1689	ɨ̰̃	nasalized laryngealized high central unrounded
nasalized creaky unrounded open front vowel	ã̰	1690	ã̰	nasalized laryngealized low central unrounded
nasalized creaky rounded close-mid back vowel	õ̰	1691	õ̰	nasalized laryngealized higher mid back rounded
nasalized creaky rounded close back vowel	ṵ̃	1692	ṵ̃	nasalized laryngealized high back rounded
nasalized unrounded nearly-open central vowel	ɐ̃	1694	ɐ̃	nasalized raised low central unrounded
voiceless epiglottal stop consonant	ʡ	17	ʡ	pulmonic stop voiceless epiglottal
long unrounded near-close near-front vowel	ɪː	1701	ɪː	long lowered high front unrounded
nasalized rounded open back vowel	ɒ̃	1716	ɒ̃	nasalized low back rounded
advanced nasalized unrounded open front vowel	ã̟	1718	ã̟	nasalized low front unrounded
raised rounded close back vowel	u̝	1726	u̝	supra high back rounded
raised unrounded close front vowel	i̝	1727	i̝	supra high front unrounded
pharyngealized rounded close back vowel	uˤ	1729	uˤ	pharyngealized  high back rounded
voiced velar stop consonant	g	173	ɡ	pulmonic stop voiced velar
long unrounded nearly-open central vowel	ɐː	1737	ɐː	long raised low central unrounded
nasalized rounded close-mid central vowel	ɵ̃	1761	ɵ̃	nasalized higher mid central rounded
