CLTS_NAME	BIPA_GRAPHEME	CV_CLASS	PROSODY_CLASS	SCA_CLASS	DOLGOPOLSKY_CLASS	ASJP_CLASS	COLOR_CLASS
breathy-voiced alveolar stop consonant	d̤	C	1	T	T	d	#9664c8
long breathy-voiced alveolar stop consonant	d̤ː	C	1	T	T	d	#9664c8
breathy-voiced bilabial stop consonant	b̤	C	1	P	P	b	#c8c864
long breathy-voiced bilabial stop consonant	bːʱ	C	1	P	P	b	#c8c864
breathy-voiced dental stop consonant	d̪̈	C	1	T	T	d	#9664c8
long breathy-voiced dental stop consonant	d̪̤ː	C	1	T	T	d	#9664c8
breathy-voiced postalveolar sibilant-affricate consonant	d̤ʒ	C	1	T	T	d	#9664c8
breathy-voiced retroflex flap consonant	ɽ̈	C	5	R	R	r	#6464c8
breathy-voiced retroflex stop consonant	ɖ̤	C	1	T	T	d	#9664c8
breathy-voiced velar stop consonant	g̈	C	1	K	K	g	#c89664
creaky-voiced alveolar nasal consonant	n̰	C	4	N	N	n	#64c8c8
creaky-voiced alveolar stop consonant	d̰	C	1	T	T	d	#9664c8
creaky-voiced dental stop consonant	d̪̰	C	1	T	T	d	#9664c8
voiced alveolar approximant consonant	ɹ	C	5	R	R	r	#6464c8
syllabic voiced alveolar approximant consonant	ɹ̩	C	5	R	R	r	#6464c8
voiced alveolar lateral-affricate consonant	dɮ	C	1	T	T	d	#9664c8
voiced alveolar lateral-approximant consonant	l	C	5	L	R	l	#6464c8
long voiced alveolar lateral-approximant consonant	lː	C	5	L	R	l	#6464c8
palatalized voiced alveolar lateral-approximant consonant	lʲ	C	5	L	R	l	#6464c8
syllabic voiced alveolar lateral-approximant consonant	l̩	V	5	L	R	l	#6464c8
devoiced voiced alveolar lateral-approximant consonant	l̥	C	5	L	R	l	#6464c8
voiced alveolar lateral-flap consonant	ɺ	C	5	R	R	r	#6464c8
voiced alveolar lateral-fricative consonant	ɮ	C	5	L	R	L	#6464c8
voiced alveolar nasal consonant	n	C	4	N	N	n	#64c8c8
long voiced alveolar nasal consonant	nː	C	4	N	N	n	#64c8c8
palatalized voiced alveolar nasal consonant	nʲ	C	4	N	N	n	#64c8c8
pharyngealized voiced alveolar nasal consonant	nˤ	C	4	N	N	n	#64c8c8
syllabic voiced alveolar nasal consonant	n̩	C	4	N	N	n	#64c8c8
devoiced voiced alveolar nasal consonant	n̥	C	4	N	N	n	#64c8c8
voiced alveolar stop consonant	d	C	1	T	T	d	#9664c8
aspirated long voiced alveolar stop consonant	dːʰ	C	1	T	T	d	#9664c8
aspirated voiced alveolar stop consonant	dʰ	C	1	T	T	d	#9664c8
long voiced alveolar stop consonant	dː	C	1	T	T	d	#9664c8
palatalized voiced alveolar stop consonant	dʲ	C	1	T	T	d	#9664c8
pharyngealized voiced alveolar stop consonant	dˤ	C	1	T	T	d	#9664c8
pre-nasalized voiced alveolar stop consonant	ⁿd	C	1	T	T	d	#9664c8
unreleased devoiced voiced alveolar stop consonant	d̥̚	C	1	T	T	d	#9664c8
with-nasal-release voiced alveolar stop consonant	dⁿ	C	1	T	T	d	#9664c8
with-nasal-release devoiced voiced alveolar stop consonant	d̥ⁿ	C	1	T	T	d	#9664c8
devoiced voiced alveolar stop consonant	d̥	C	1	T	T	d	#9664c8
voiced alveolar sibilant-affricate consonant	dz	C	2	C	K	j	#c89664
long voiced alveolar sibilant-affricate consonant	dːz	C	1	T	T	d	#9664c8
voiced alveolar sibilant-fricative consonant	z	C	3	S	S	z	#6496c8
syllabic voiced alveolar sibilant-fricative consonant	z̩	C	3	S	S	z	#6496c8
devoiced voiced alveolar sibilant-fricative consonant	z̥	C	3	S	S	z	#6496c8
devoiced voiced alveolar tap consonant	ɾ	C	5	R	R	r	#6464c8
voiced alveolar trill consonant	r	C	5	R	R	r	#6464c8
long voiced alveolar trill consonant	rː	C	5	R	R	r	#6464c8
pharyngealized voiced alveolar trill consonant	rˤ	C	5	R	R	r	#6464c8
syllabic voiced alveolar trill consonant	r̩	V	5	R	R	r	#6464c8
devoiced voiced alveolar trill consonant	r̥	C	5	R	R	r	#6464c8
voiced alveolo-palatal nasal consonant	ȵ	C	4	N	N	H	#64c8c8
devoiced voiced alveolo-palatal nasal consonant	ȵ̊	C	4	N	N	H	#64c8c8
voiced alveolo-palatal sibilant-affricate consonant	dʑ	C	2	C	K	j	#c89664
long voiced alveolo-palatal sibilant-affricate consonant	dːʑ	C	1	T	T	d	#9664c8
voiced alveolo-palatal sibilant-fricative consonant	ʑ	C	3	S	S	Z	#6496c8
voiced bilabial affricate consonant	bβ	C	1	P	P	b	#c8c864
voiced bilabial approximant consonant	β̞	C	3	B	P	b	#c8c864
voiced bilabial fricative consonant	β	C	3	B	P	b	#c8c864
labialized voiced bilabial fricative consonant	βʷ	C	3	B	P	b	#c8c864
voiced bilabial imstop consonant	ɓ	C	1	P	P	b	#c8c864
palatalized voiced bilabial imstop consonant	ɓʲ	C	1	P	P	b	#c8c864
voiced bilabial nasal consonant	m	C	4	M	M	m	#64c896
aspirated voiced bilabial nasal consonant	mʰ	C	4	M	M	m	#64c896
long voiced bilabial nasal consonant	mː	C	4	M	M	m	#64c896
labialized voiced bilabial nasal consonant	mʷ	C	4	M	M	m	#64c896
palatalized voiced bilabial nasal consonant	mʲ	C	4	M	M	m	#64c896
syllabic voiced bilabial nasal consonant	m̩	C	4	M	M	m	#64c896
velarized voiced bilabial nasal consonant	mˠ	C	4	M	M	m	#64c896
devoiced voiced bilabial nasal consonant	m̥	C	4	M	M	m	#64c896
voiced bilabial stop consonant	b	C	1	P	P	b	#c8c864
aspirated long voiced bilabial stop consonant	bːʰ	C	1	P	P	b	#c8c864
aspirated voiced bilabial stop consonant	bʰ	C	1	P	P	b	#c8c864
aspirated devoiced voiced bilabial stop consonant	b̥ʰ	C	1	P	P	b	#c8c864
long voiced bilabial stop consonant	bː	C	1	P	P	b	#c8c864
labialized voiced bilabial stop consonant	bʷ	C	1	P	P	b	#c8c864
palatalized voiced bilabial stop consonant	bʲ	C	1	P	P	b	#c8c864
pre-nasalized voiced bilabial stop consonant	ⁿb	C	1	P	P	b	#c8c864
unreleased voiced bilabial stop consonant	b̡	C	1	P	P	b	#c8c864
with-nasal-release voiced bilabial stop consonant	bⁿ	C	1	P	P	b	#c8c864
velarized voiced bilabial stop consonant	bˠ	C	1	P	P	b	#c8c864
devoiced voiced bilabial stop consonant	b̥	C	1	P	P	b	#c8c864
