CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	IMAGE	SOUND	FEATURES
voiceless bilabial stop consonant	p	p	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-101.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_bilabial_plosive.mp3	a voiceless bilabial plosive
voiced bilabial stop consonant	b	b	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-102.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_bilabial_plosive.mp3	a voiced bilabial plosive
voiceless alveolar stop consonant	t	t	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-103.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_alveolar_plosive.mp3	a voiceless alveolar plosive
voiced alveolar stop consonant	d	d	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-104.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_alveolar_plosive.mp3	a voiced alveolar plosive
voiceless retroflex stop consonant	ʈ	ʈ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-105.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_retroflex_plosive.mp3	a voiceless retroflex plosive
voiced retroflex stop consonant	ɖ	ɖ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-106.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_retroflex_plosive.mp3	a voiced retroflex plosive
voiceless palatal stop consonant	c	c	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-107.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_palatal_plosive.mp3	a voiceless palatal plosive
voiced palatal stop consonant	ɟ	ɟ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-108.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_palatal_plosive.mp3	a voiced palatal plosive
voiceless velar stop consonant	k	k	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-109.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_velar_plosive.mp3	a voiceless velar plosive
voiced velar stop consonant	g	g	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-110.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_velar_plosive.mp3	a voiced velar plosive
