CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	LATEX	FEATURES
unrounded open front vowel	a	a	a	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
unrounded near-open central vowel	ɐ	ɐ	\textturna	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
unrounded open back vowel	ɑ	ɑ	\textscripta	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
rounded open back vowel	ɒ	ɒ	\textturnscripta	vowel::empty::−high +low +back +round +voice −nasal −spread glottis −constricted glottis
rounded open-mid back vowel	ɔ	ɔ	\textopeno	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
unrounded close-mid front vowel	e	e	e	vowel::empty::−high −low −back −round +voice −nasal −spread glottis −constricted glottis
unrounded open-mid front vowel	ɛ	ɛ	\textipa{E}	vowel::empty::−high −low −back −round +voice −nasal −spread glottis −constricted glottis
unrounded mid central vowel	ə	ə	\textschwa	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
rhotacized unrounded mid central vowel	ə˞	ɚ	\textrhookschwa	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
unrounded close-mid central vowel	ɘ	ɘ	\textreve	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
unrounded open-mid central vowel	ɜ	ɜ	\textipa{3}	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
rounded open-mid central vowel	ɞ	ɞ	\textcloseepsilon	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
unrounded close-mid back vowel	ɤ	ɤ	\textipa{7}	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
unrounded close front vowel	i	i	i	vowel::empty::+high −low −back −round +voice −nasal −spread glottis −constricted glottis
unrounded near-close near-front vowel	ɪ	ɪ	\textipa{I}	vowel::empty::+high −low −back −round +voice −nasal −spread glottis −constricted glottis
unrounded close central vowel	ɨ	ɨ	\textbari	vowel::empty::+high −low +back −round +voice −nasal −spread glottis −constricted glottis
unrounded close back vowel	ɯ	ɯ	\textturnm	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
rounded close-mid back vowel	o	o	o	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
rounded close-mid central vowel	ɵ	ɵ	\textbaro	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
rounded close-mid front vowel	ø	ø	\o	vowel::empty::−high −low −back +round +voice −nasal −spread glottis −constricted glottis
rounded open front vowel	ɶ	ɶ	\textscoelig	vowel::empty::−high +low −back +round +voice −nasal −spread glottis −constricted glottis
rounded open-mid front vowel	œ	œ	\oe	vowel::empty::−high −low −back +round +voice −nasal −spread glottis −constricted glottis
rounded close back vowel	u	u	u	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
rounded close central vowel	ʉ	ʉ	\textbaru	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
rounded near-close near-back vowel	ʊ	ʊ	\textupsilon	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
