CLTS_NAME	BIPA_GRAPHEME	PHOIBLE_ID	PHOIBLE_GRAPHEME
voiced bilabial nasal consonant	m	5AE9663626770D1D4B97AAE5769AB83C	m
voiceless velar stop consonant	k	5A838FF4DABE1950734CFAFAB9383903	k
unrounded close front vowel	i	F0585BB57111C322D6E7DABB0D01F9EA	i
unrounded open front vowel	a	72FB536ACFF408163656BBCDAFCAC6F6	a
voiced palatal approximant consonant	j	ADF56B8E4119266843033E723A149AE2	j
rounded close back vowel	u	58EB693AE523323410326D60806B9ADF	u
voiceless bilabial stop consonant	p	2D6FB64B3CDC3549EF11DB98A66A9EAD	p
voiced labialized-velar approximant consonant	w	501394D0E2658752D9DA624E7DEBE14B	w
voiced alveolar nasal consonant	n	E03DA215BAB0A158BA5D1CB5C4D5D6FD	n
voiceless alveolar sibilant-fricative consonant	s	7FF174469DAC4E61520F4E1610B2F088	s
voiceless alveolar stop consonant	t	9F90F95459807624A486F03FE5A89978	t
voiced bilabial stop consonant	b	694212B746622E482E0E58D50036100E	b
rounded close-mid back vowel	o	5AC0158A367D59E8C16A876321E578AB	o
unrounded close-mid front vowel	e	199408E3D0668F10F475143F0E8CC0CB	e
voiced alveolar lateral-approximant consonant	l	03413638BD1DFC7AEF53192FEF71F017	l
voiceless glottal fricative consonant	h	E7FBD92350B3CA8B7B5D77E36A607068	h
voiced velar stop consonant	g	ECC959553F23387998DAF88D69D7736C	ɡ
voiced velar nasal consonant	ŋ	941ED37AAF5E9C4E1B40D85008C6B2D9	ŋ
voiced alveolar stop consonant	d	E6253384902D489FDB1FE487B7ED4AB2	d
voiced palatal nasal consonant	ɲ	1AD6D96C35E6ADA62F1EAF5B167F75F7	ɲ
voiceless labio-dental fricative consonant	f	86E80A7DA80F7F58CA76F85BACA48F86	f
voiceless postalveolar affricate consonant	<?>	1348048F53951A5E29ABA6D5360925BA	t̠ʃ
voiceless glottal stop consonant	ʔ	0844E3AEAF1C8E3837465942B92FE4C5	ʔ
unrounded open-mid front vowel	ɛ	8A61A9B6039DB852CE150BEC6198AFE5	ɛ
rounded open-mid back vowel	ɔ	55C328C4539D138964636333EABA3949	ɔ
voiceless postalveolar sibilant-fricative consonant	ʃ	9E7CDEEE9F0DE43C10181AE483F62CBD	ʃ
voiced alveolar trill consonant	r	5D1D7FB69E1A3C0C60001FBC0C19ED87	r
voiced alveolar sibilant-fricative consonant	z	E77FDA2EAABA78B3E55A968B2257CF26	z
devoiced voiced alveolar tap consonant	ɾ	795215076D89B5B17C0D147BE5C341E3	ɾ
voiced postalveolar sibilant-affricate consonant	dʒ	C7364BE7F76504D8DE329FFF30C42424	d̠ʒ
