BIPA_GRAPHEME	CLTS_NAME	GENERATED	GRAPHEME	URL	LATEX	URL	FEATURES	SOUNDS	IMAGES	COUNT
p	voiceless bilabial stop consonant		p				a voiceless bilabial plosive			
b	voiced bilabial stop consonant		b				a voiced bilabial plosive			
t	voiceless alveolar stop consonant		t				a voiceless alveolar plosive			
d	voiced alveolar stop consonant		d				a voiced alveolar plosive			
ʈ	voiceless retroflex stop consonant		ʈ				a voiceless retroflex plosive			
ɖ	voiced retroflex stop consonant		ɖ				a voiced retroflex plosive			
c	voiceless palatal stop consonant		c				a voiceless palatal plosive			
ɟ	voiced palatal stop consonant		ɟ				a voiced palatal plosive			
k	voiceless velar stop consonant		k				a voiceless velar plosive			
g	voiced velar stop consonant		g				a voiced velar plosive			
q	voiceless uvular stop consonant		q				a voiceless uvular plosive			
ɢ	voiced uvular stop consonant		ɢ				a voiced uvular plosive			
ʔ	voiceless glottal stop consonant		ʔ				a voice			
m	voiced bilabial nasal consonant		m				a voiced bilabial nasal			
ɱ	voiced labio-dental nasal consonant		ɱ				a voiced labiodental nasal			
n	voiced alveolar nasal consonant		n				a voiced alveolar nasal			
ɳ	voiced retroflex nasal consonant		ɳ				a voiced retroflex nasal			
ɲ	voiced palatal nasal consonant		ɲ				a voiced palatal nasal			
ŋ	voiced velar nasal consonant		ŋ				a voiced velar nasal			
ɴ	voiced uvular nasal consonant		ɴ				a voiced uvular nasal			
ʙ	voiced bilabial trill consonant		ʙ				a voiced bilabial trill			
r	voiced alveolar trill consonant		r				a voiced alveolar trill			
ʀ	voiced uvular trill consonant		ʀ				a voiced uvular trill			
ⱱ	voiced labio-dental tap consonant		ⱱ				a voiced labialdental flap			
ɾ	devoiced voiced alveolar tap consonant		ɾ				a voiced alveolar tap			
ɽ	voiced retroflex tap consonant		ɽ				a voiced retroflex tap			
ɱ	voiced labio-dental nasal consonant		ɱ				a voiceless bilabial fricative			
β	voiced bilabial fricative consonant		β				a voiced bilabial fricative			
f	voiceless labio-dental fricative consonant		f				a voiced labiodental fricative			
v	voiced labio-dental fricative consonant		v				a voiced labiodental fricative			
θ	voiceless dental fricative consonant		θ				a voiceless dental fricative			
ð	voiced dental fricative consonant		ð				a voiced dental fricative			
s	voiceless alveolar sibilant fricative consonant		s				a voiceless alveolar fricative			
z	voiced alveolar sibilant fricative consonant		z				a voiced alveolar fricative			
ʃ	voiceless post-alveolar sibilant fricative consonant		ʃ				a voiceless postalveolar fricative			
ʒ	voiced post-alveolar sibilant fricative consonant		ʒ				a voiced postalveolar fricative			
ʂ	voiceless retroflex sibilant fricative consonant		ʂ				a voiceless retroflex fricative			
ʐ	voiced retroflex sibilant fricative consonant		ʐ				a voiced retroflex fricative			
ç	voiceless palatal sibilant fricative consonant		ç				a voiceless palatal fricative			
ʝ	voiced palatal fricative consonant		ʝ				a voiced palatal fricative			
x	voiceless velar fricative consonant		x				a voiceless velar fricative			
ɣ	voiced velar fricative consonant		ɣ				a voiced velar fricative			
χ	voiceless uvular fricative consonant		χ				a voiceless uvular fricative			
ʁ	voiced uvular fricative consonant		ʁ				a voiced uvular fricative			
ħ	voiceless pharyngeal fricative consonant		ħ				a voiceless pharyngeal fricative			
ʕ	voiced pharyngeal fricative consonant		ʕ				a voiced pharyngeal fricative			
h	voiceless glottal fricative consonant		h				a voiceless glottal fricative			
ɦ	voiced glottal fricative consonant		ɦ				a voiced glottal fricative			
ɬ	voiceless alveolar lateral fricative consonant		ɬ				a voiceless alveolar lateral fricative			
ɮ	voiced alveolar lateral fricative consonant		ɮ				a voiced alveolar lateral fricative			
ʋ	voiced labio-dental approximant consonant		ʋ				a voiced labiodental approximant			
ɹ	voiced alveolar approximant consonant		ɹ				a voiced alveolar approximant			
