CLTS_NAME	BIPA_GRAPHEME	WIKIPEDIA_URL
unrounded open front vowel	a	https://en.wikipedia.org/wiki/Open_front_unrounded_vowel
unrounded open centralized vowel	ä	https://en.wikipedia.org/wiki/Open_central_unrounded_vowel
voiced bilabial stop consonant	b	https://en.wikipedia.org/wiki/voiced_bilabial_plosive
voiced labio-dental affricate consonant	bv	https://en.wikipedia.org/wiki/voiced_labiodental_affricate
voiced labiodental plosive consonant	b̪	https://en.wikipedia.org/wiki/Voiced_labiodental_stop
voiced bilabial affricate consonant	bβ	https://en.wikipedia.org/wiki/voiced_bilabial_affricate
voiceless palatal stop consonant	c	https://en.wikipedia.org/wiki/voiceless_palatal_plosive
voiceless palatal affricate consonant	cç	https://en.wikipedia.org/wiki/voiceless_palatal_affricate
voiceless palatal affricate consonant	cç	https://en.wikipedia.org/wiki/Voiceless_palatal_affricate
from voiceless palatal plosive to voiced palatal lateral approximant cluster	cʎ̝̥ʼ	https://en.wikipedia.org/wiki/Palatal_lateral_ejective_affricate
voiceless palatal ejective stop consonant	cʼ	https://en.wikipedia.org/wiki/Palatal_ejective
voiced alveolar stop consonant	d	https://en.wikipedia.org/wiki/voiced_alveolar_plosive
voiced alveolar sibilant affricate consonant	dz	https://en.wikipedia.org/wiki/Voiced_alveolar_sibilant_affricate
voiced dental affricate consonant	dð	https://en.wikipedia.org/wiki/voiced_dental_affricate
voiced alveolar lateral affricate consonant	dɮ	https://en.wikipedia.org/wiki/Voiced_alveolar_lateral_affricate
pharyngealized voiced alveolar stop consonant	dˤ	https://en.wikipedia.org/wiki/pharyngealized_voiced_alveolar_plosive
from voiced post-alveolar stop to voiced alveolo-palatal sibilant fricative cluster	d̠ʑ	https://en.wikipedia.org/wiki/Voiced_alveolo-palatal_affricate
voiced post-alveolar sibilant affricate consonant	d̠ʒ	https://en.wikipedia.org/wiki/Voiced_palato-alveolar_affricate
voiced dental stop consonant	d̪	https://en.wikipedia.org/wiki/voiced_dental_plosive
voiced linguo-labial plosive consonant	d̼	https://en.wikipedia.org/wiki/Voiced_linguolabial_stop
unrounded close-mid front vowel	e	https://en.wikipedia.org/wiki/Close-mid_front_unrounded_vowel
unrounded mid front vowel	e̞	https://en.wikipedia.org/wiki/Mid_front_unrounded_vowel
