GRAPHEME	PHONATION	PLACE	MANNER	ALIAS	EXTRA	NOTE
dʱ	breathy-voiced	alveolar	stop	+		
d̤	breathy-voiced	alveolar	stop			
dːʱ	breathy-voiced	alveolar	stop	+	duration:long	
d̤ː	breathy-voiced	alveolar	stop		duration:long	
bʱ	breathy-voiced	bilabial	stop	+		
b̤	breathy-voiced	bilabial	stop			
bːʱ	breathy-voiced	bilabial	stop		duration:long	
d̪̈	breathy-voiced	dental	stop			
d̪̤ː	breathy-voiced	dental	stop		duration:long	
d̪ʱ	breathy-voiced	dental	stop	+		Problematic sound, since we can't render dental and breathy-voiced features in one glyph.
dʒʱ	breathy-voiced	postalveolar	sibilant-affricate	+		
d̤ʒ	breathy-voiced	postalveolar	sibilant-affricate			
ɽʱ	breathy-voiced	retroflex	flap	+		
ɽ̈	breathy-voiced	retroflex	flap			
ɖʱ	breathy-voiced	retroflex	stop	+		
ɖ̤	breathy-voiced	retroflex	stop			
gʱ	breathy-voiced	velar	stop	+		
g̈	breathy-voiced	velar	stop			
gʰ	breathy-voiced	velar	stop	+		I think, aspirated voiced sounds are always breathy-voiced.
n̰	creaky-voiced	alveolar	nasal			
d̰	creaky-voiced	alveolar	stop			
d̪̰	creaky-voiced	dental	stop			DP!
ɹ	voiced	alveolar	approximant			
ɹ̩	voiced	alveolar	approximant		syllabicity:syllabic	
dɮ	voiced	alveolar	lateral-affricate			
l	voiced	alveolar	lateral-approximant			
lː	voiced	alveolar	lateral-approximant		duration:long	
lʲ	voiced	alveolar	lateral-approximant		palatalization:palatalized	
ḷ	voiced	alveolar	lateral-approximant	+	syllabicity:syllabic	
l̩	voiced	alveolar	lateral-approximant		syllabicity:syllabic	
l̥	voiced	alveolar	lateral-approximant		voicing:devoiced	
ɺ	voiced	alveolar	lateral-flap			
ɮ	voiced	alveolar	lateral-fricative			
n	voiced	alveolar	nasal			
nː	voiced	alveolar	nasal		duration:long	
nʲ	voiced	alveolar	nasal		palatalization:palatalized	
nˤ	voiced	alveolar	nasal		pharyngealization:pharyngealized	
ṇ	voiced	alveolar	nasal	+	syllabicity:syllabic	
n̩	voiced	alveolar	nasal		syllabicity:syllabic	
n̊	voiced	alveolar	nasal	+	voicing:devoiced	
n̥	voiced	alveolar	nasal		voicing:devoiced	
d	voiced	alveolar	stop			
dʰː	voiced	alveolar	stop	+	aspiration:aspirated,duration:long	Aspirated voiced is breathy-voice.
dːʰ	voiced	alveolar	stop		aspiration:aspirated,duration:long	Aspirated voiced is breathy-voice.
dʰ	voiced	alveolar	stop		aspiration:aspirated	I think, aspirated voiced sounds are always breathy-voiced.
dː	voiced	alveolar	stop		duration:long	
dʲ	voiced	alveolar	stop		palatalization:palatalized	
dˤ	voiced	alveolar	stop		pharyngealization:pharyngealized	
ⁿd	voiced	alveolar	stop		preceding:pre-nasalized	
d̥̚	voiced	alveolar	stop		release:unreleased,voicing:devoiced	
dⁿ	voiced	alveolar	stop		release:with-nasal-release	
d̥ⁿ	voiced	alveolar	stop		release:with-nasal-release,voicing:devoiced	
d̥	voiced	alveolar	stop		voicing:devoiced	
ʣ	voiced	alveolar	sibilant-affricate	+		
dz	voiced	alveolar	sibilant-affricate			
dzː	voiced	alveolar	sibilant-affricate	+	duration:long	
dːz	voiced	alveolar	sibilant-affricate		duration:long	
z	voiced	alveolar	sibilant-fricative			
z̩	voiced	alveolar	sibilant-fricative		syllabicity:syllabic	
z̥	voiced	alveolar	sibilant-fricative		voicing:devoiced	
ɾ	voiced	alveolar	tap		voicing:devoiced	
r	voiced	alveolar	trill			
rː	voiced	alveolar	trill		duration:long	
rˤ	voiced	alveolar	trill		pharyngealization:pharyngealized	
r̩	voiced	alveolar	trill		syllabicity:syllabic	
r̥	voiced	alveolar	trill		voicing:devoiced	
ȵ	voiced	alveolo-palatal	nasal			
ȵ̊	voiced	alveolo-palatal	nasal		voicing:devoiced	
ʥ	voiced	alveolo-palatal	sibilant-affricate	+		
dʑ	voiced	alveolo-palatal	sibilant-affricate			
dːʑ	voiced	alveolo-palatal	sibilant-affricate		duration:long	
ʑ	voiced	alveolo-palatal	sibilant-fricative			
bβ	voiced	bilabial	affricate			
β̞	voiced	bilabial	approximant			
β	voiced	bilabial	fricative			
βʷ	voiced	bilabial	fricative		labialization:labialized	
ɓ	voiced	bilabial	imstop			
ɓʲ	voiced	bilabial	imstop		palatalization:palatalized	
m	voiced	bilabial	nasal			
mʰ	voiced	bilabial	nasal		aspiration:aspirated	
mː	voiced	bilabial	nasal		duration:long	
mʷ	voiced	bilabial	nasal		labialization:labialized	
mʲ	voiced	bilabial	nasal		palatalization:palatalized	
ṃ	voiced	bilabial	nasal	+	syllabicity:syllabic	
m̩	voiced	bilabial	nasal		syllabicity:syllabic	
mˠ	voiced	bilabial	nasal		velarization:velarized	
m̥	voiced	bilabial	nasal		voicing:devoiced	
b	voiced	bilabial	stop			
bʰː	voiced	bilabial	stop	+	aspiration:aspirated,duration:long	Aspirated voiced is breathy-voice.
bːʰ	voiced	bilabial	stop		aspiration:aspirated,duration:long	Aspirated voiced is breathy-voice.
bʰ	voiced	bilabial	stop		aspiration:aspirated	I think, aspirated voiced sounds are always breathy-voiced.
b̥ʰ	voiced	bilabial	stop		aspiration:aspirated,voicing:devoiced	Alias candidate.
p̬	voiced	bilabial	stop	+		Check with source.
bː	voiced	bilabial	stop		duration:long	
bʷ	voiced	bilabial	stop		labialization:labialized	
bʲ	voiced	bilabial	stop		palatalization:palatalized	
ⁿb	voiced	bilabial	stop		preceding:pre-nasalized	
b̡	voiced	bilabial	stop		release:unreleased	
bⁿ	voiced	bilabial	stop		release:with-nasal-release	
bˠ	voiced	bilabial	stop		velarization:velarized	
b̥	voiced	bilabial	stop		voicing:devoiced	Alias candidate.
ʙ	voiced	bilabial	trill			
ʙ̩	voiced	bilabial	trill		syllabicity:syllabic	
ʙ̥	voiced	bilabial	trill		voicing:devoiced	
d̪ð	voiced	dental	affricate	+		
dð	voiced	dental	affricate			
ð̞	voiced	dental	approximant			
ð	voiced	dental	fricative			
ðː	voiced	dental	fricative		duration:long	
ɗ	voiced	dental	imstop			
ɗ̥	voiced	dental	imstop		voicing:devoiced	
d̪ɮ	voiced	dental	lateral-affricate			
l̪	voiced	dental	lateral-approximant			
l̪ː	voiced	dental	lateral-approximant		duration:long	
l̪ʲ	voiced	dental	lateral-approximant		palatalization:palatalized	
l̪̥	voiced	dental	lateral-approximant		voicing:devoiced	
n̪	voiced	dental	nasal			
n̪ˠ	voiced	dental	nasal		velarization:velarized	
d̪	voiced	dental	stop			
d̪ː	voiced	dental	stop		duration:long	
d̪ʲ	voiced	dental	stop		palatalization:palatalized	
d̪ˤ	voiced	dental	stop		pharyngealization:pharyngealized	
ⁿd̪	voiced	dental	stop		preceding:pre-nasalized	
d̪̚	voiced	dental	stop		release:unreleased	
d̪̥̚	voiced	dental	stop		release:unreleased,voicing:devoiced	DP!
d̪ⁿ	voiced	dental	stop		release:with-nasal-release	
d̪̥ⁿ	voiced	dental	stop		release:with-nasal-release,voicing:devoiced	DP!
d̪ˠ	voiced	dental	stop		velarization:velarized	
d̪z̪	voiced	dental	sibilant-affricate			
d̪z̪ː	voiced	dental	sibilant-affricate	+	duration:long	
d̪ːz̪	voiced	dental	sibilant-affricate		duration:long	
z̪	voiced	dental	sibilant-fricative			
z̪̥	voiced	dental	sibilant-fricative		voicing:devoiced	
r̪	voiced	dental	trill			
r̪ː	voiced	dental	trill		duration:long	
r̪ˤ	voiced	dental	trill		pharyngealization:pharyngealized	
r̪̥	voiced	dental	trill		voicing:devoiced	DP!
ʢ	voiced	epiglottal	fricative			
ɦ	voiced	glottal	fricative			
h̬	voiced	glottal	fricative	+		Check source.
ɥ	voiced	labialized-palatal	approximant			
w	voiced	labialized-velar	approximant			
wː	voiced	labialized-velar	approximant		duration:long	
w̃	voiced	labialized-velar	approximant		nasalization:nasalized	
wˠ	voiced	labialized-velar	approximant		velarization:velarized	
bv	voiced	labio-dental	affricate			
ʋ	voiced	labio-dental	approximant			
v	voiced	labio-dental	fricative			
vː	voiced	labio-dental	fricative		duration:long	
vʲ	voiced	labio-dental	fricative		palatalization:palatalized	
v̩	voiced	labio-dental	fricative		syllabicity:syllabic	
v̥	voiced	labio-dental	fricative		voicing:devoiced	
ɱ	voiced	labio-dental	nasal			
ɱ̥	voiced	labio-dental	nasal	+	voicing:devoiced	
ɱ̊	voiced	labio-dental	nasal		voicing:devoiced	
ɟʝ	voiced	palatal	affricate			
j	voiced	palatal	approximant			
jː	voiced	palatal	approximant		duration:long	
j̃	voiced	palatal	approximant		nasalization:nasalized	
ʝ	voiced	palatal	fricative			
ʄ	voiced	palatal	imstop			
λ	voiced	palatal	lateral-approximant			
λ̥	voiced	palatal	lateral-approximant		voicing:devoiced	
ñ	voiced	palatal	nasal	+		
ɲ	voiced	palatal	nasal			
ɲː	voiced	palatal	nasal		duration:long	
ɲ̍	voiced	palatal	nasal		syllabicity:syllabic	
ɲ̊	voiced	palatal	nasal		voicing:devoiced	
ɟ	voiced	palatal	stop			
ⁿɟ	voiced	palatal	stop		preceding:pre-nasalized	
ʕ	voiced	pharyngeal	fricative			
ⁿdʒ	voiced	postalveolar	affricate		preceding:pre-nasalized	
ɹ̠	voiced	postalveolar	approximant			
d̠	voiced	postalveolar	stop			
d̠ʒ	voiced	postalveolar	sibilant-affricate	+		
ʤ	voiced	postalveolar	sibilant-affricate	+		
dʒ	voiced	postalveolar	sibilant-affricate			
dːʒ	voiced	postalveolar	sibilant-affricate		duration:long	
dʒʲ	voiced	postalveolar	sibilant-affricate		palatalization:palatalized	
ʒ	voiced	postalveolar	sibilant-fricative			
ʒ̩	voiced	postalveolar	sibilant-fricative	+	syllabicity:syllabic	
ʒ̍	voiced	postalveolar	sibilant-fricative		syllabicity:syllabic	
ʒ̊	voiced	postalveolar	sibilant-fricative		voicing:devoiced	
ɻ	voiced	retroflex	approximant			
ɽ	voiced	retroflex	flap			
ɭ	voiced	retroflex	lateral-approximant			
ɭ̊	voiced	retroflex	lateral-approximant		voicing:devoiced	
ɳ	voiced	retroflex	nasal			
ɳ̍	voiced	retroflex	nasal		syllabicity:syllabic	
ɳ̊	voiced	retroflex	nasal		voicing:devoiced	
ɖ	voiced	retroflex	stop			
ʈ̬	voiced	retroflex	stop	+		Check with source
dʐ	voiced	retroflex	sibilant-affricate	+		
ɖʐ	voiced	retroflex	sibilant-affricate			
ɖːʐ	voiced	retroflex	sibilant-affricate	+	duration:long	
ʈːʂ	voiced	retroflex	sibilant-affricate		duration:long	
ʐ	voiced	retroflex	sibilant-fricative			
ɢʁ	voiced	uvular	affricate			
ʁ̞	voiced	uvular	approximant			
ʁ	voiced	uvular	fricative			
ʁ̥	voiced	uvular	fricative		voicing:devoiced	
ʛ	voiced	uvular	imstop			
ɴ	voiced	uvular	nasal			
ɴ̩	voiced	uvular	nasal		syllabicity:syllabic	
ɴ̥	voiced	uvular	nasal		voicing:devoiced	
ɢ	voiced	uvular	stop			
ʀ	voiced	uvular	trill			
ʀ̥	voiced	uvular	trill		voicing:devoiced	
gɣ	voiced	velar	affricate			
ɰ	voiced	velar	approximant			
ɣ	voiced	velar	fricative			
ɣʷ	voiced	velar	fricative		labialization:labialized	
ɣ̥	voiced	velar	fricative	+	voicing:devoiced	
ɣ̊	voiced	velar	fricative		voicing:devoiced	
ɠ	voiced	velar	imstop			
ʟ	voiced	velar	lateral-approximant			
ʟ̥	voiced	velar	lateral-approximant		voicing:devoiced	
ŋ	voiced	velar	nasal			
ŋː	voiced	velar	nasal		duration:long	
ŋʷ	voiced	velar	nasal		labialization:labialized	
ŋ̩	voiced	velar	nasal	+	syllabicity:syllabic	
ŋ̍	voiced	velar	nasal		syllabicity:syllabic	
ŋ̥	voiced	velar	nasal	+	voicing:devoiced	
ŋ̊	voiced	velar	nasal		voicing:devoiced	
ɡ	voiced	velar	stop	+		
g	voiced	velar	stop			
g̊ʰ	voiced	velar	stop		aspiration:aspirated,voicing:devoiced	Alias candidate
k̬	voiced	velar	stop	+		Check with source.
gː	voiced	velar	stop		duration:long	
gʷ	voiced	velar	stop		labialization:labialized	
gʲ	voiced	velar	stop		palatalization:palatalized	
ⁿg	voiced	velar	stop		preceding:pre-nasalized	
g̥	voiced	velar	stop	+	voicing:devoiced	Alias candidate.
g̊	voiced	velar	stop		voicing:devoiced	Alias candidate.
tθ	voiceless	alveolar	affricate			
ƛ	voiceless	alveolar	lateral-affricate	+		
tɬ	voiceless	alveolar	lateral-affricate			
tɬʰ	voiceless	alveolar	lateral-affricate		aspiration:aspirated	
tɬ’	voiceless	alveolar	lateral-affricate		ejection:ejective	
ɬ	voiceless	alveolar	lateral-fricative			
ɬ’	voiceless	alveolar	lateral-fricative		ejection:ejective	
t	voiceless	alveolar	stop			
th	voiceless	alveolar	stop	+	aspiration:aspirated	
tʰ	voiceless	alveolar	stop		aspiration:aspirated	
tː	voiceless	alveolar	stop		duration:long	
tˈ	voiceless	alveolar	stop	+	ejection:ejective	
tʼ	voiceless	alveolar	stop		ejection:ejective	
tʷ	voiceless	alveolar	stop		labialization:labialized	
