GRAPHEME	PHONATION	PLACE	MANNER	ALIAS	EXTRA	NOTE
!\\	voiceless	alveolar	click			
4	voiced	alveolar	tap			
4\\	voiced	alveolar	tap	+		
<\\	voiced	epiglottal	fricative			
=\\	voiceless	palatal	click			
>\\	voiceless	epiglottal	stop			
?	voiceless	glottal	stop			
?\\	voiced	pharyngeal	fricative			
b\\	voiced	labio-dental	fricative			
B	voiced	bilabial	fricative			
B\\	voiced	bilabial	trill			
b_<	voiced	bilabial	implosive			
C	voiceless	palatal	fricative			
c\\	voiceless	alveolo-palatal	fricative			
D	voiced	dental	fricative			
d\\	voiced	alveolo-palatal	stop			
d_<	voiced	dental	implosive			
d_z	voiced	alveolar	affricate			
d_Z	voiced	post-alveolar	affricate			
d_z\\	voiced	alveolo-palatal	affricate			
d`	voiced	retroflex	stop			
F	voiced	labio-dental	nasal			
m\\	voiced	labio-dental	nasal	+		
F\\	voiced	labio-dental	tap			
G	voiced	velar	fricative			
g\\\\	voiced	velar	stop			
G\\	voiced	uvular	stop			
G\\_<	voiced	uvular	implosive			
g_<	voiced	velar	implosive			
H	voiced	labialized-palatal	approximant			
h\\	voiced	glottal	fricative			
H\\	voiceless	epiglottal	fricative			
J	voiced	palatal	nasal			
J\\	voiced	palatal	stop			
j\\	voiced	palatal	fricative			
J\\_<	voiced	palatal	implosive			
K	voiceless	alveolar	fricative			
K\\	voiced	alveolar	fricative			
L	voiced	palatal	approximant			
l\\	voiced	alveolo-palatal	approximant			
\"l\\	voiced	alveolar	tap	+		
L\\	voiced	velar	approximant			
l`	voiced	retroflex	approximant			
M\\	voiced	velar	approximant	+		
N	voiced	velar	nasal			
n\\	voiced	alveolo-palatal	nasal			
N\\	voiced	uvular	nasal			
n`	voiced	retroflex	nasal			
O\\	voiceless	labial	click			
P\\	voiceless	labial	click	+		
P	voiceless	bilabial	fricative			
p\\	voiceless	bilabial	fricative	+		
q_<	voiceless	uvular	implosive			
R	voiced	uvular	fricative			
r\\	voiced	alveolar	approximant			
R\\	voiced	uvular	trill			
r\\`	voiced	retroflex	approximant	+		
r`	voiced	retroflex	tap			
S	voiceless	post-alveolar	fricative			
s\\	voiceless	alveolo-palatal	fricative	+		
s`	voiceless	retroflex	fricative			
T	voiceless	dental	fricative			
t\\	voiceless	alveolo-palatal	stop			
t_s	voiceless	alveolar	affricate			
t_S	voiceless	post-alveolar	affricate			
t_s\\	voiceless	alveolo-palatal	affricate			
t`	voiceless	retroflex	stop			
v\\	voiced	labio-dental	approximant			
W	voiceless	labialized-velar	approximant			
X	voiceless	uvular	fricative			
X\\	voiceless	pharyngeal	fricative			
x\\	voiceless	palatal-velar	fricative			
Z	voiced	post-alveolar	fricative			
z\\	voiced	alveolo-palatal	fricative			
z`	voiced	retroflex	fricative			
|\\	voiceless	dental	click			
|\\|\\	voiceless	alveolar	click	+		
