GRAPHEME	TYPE	FEATURE	VALUE	ALIAS	TYPOGRAPHY	NOTE
'	consonant	palatalization	palatalized			
_j	consonant	palatalization	palatalized	+		
:	consonant	duration	long			
:	vowel	duration	long			
:\\	vowel	duration	mid-long			
^	vowel	tone	with_upstep			
!	vowel	tone	with_downstep			
_"	vowel	centrality	centralized			
_+	vowel	advancement	advanced			
_-	vowel	retraction	retracted			
_/	vowel	tone	with_rising_tone			
_0	consonant	voicing	devoiced			
_?\\	consonant	pharyngealization	pharyngealized			
_\\	vowel	tone	with_falling_tone			
_^	vowel	syllabicity	non-syllabic			
_}	consonant	release	unreleased			
`	vowel	rhotacization	rhotacized			
~	consonant	nasalization	nasalized			
_~	consonant	nasalization	nasalized	+		
_A	vowel	tongue_root	advanced-tongue-root			
_a	consonant	laminality	apical			
_B	vowel	tone	with_extra_low_tone			
_c	vowel	rounding	less-rounded			
_G	consonant	velarization	velarized			
<F>	vowel	tone	with_global_fall			
_H	vowel	tone	with_high_tone			
_h	consonant	aspiration	aspirated			
_k	consonant	creakiness	creaky			
_l	consonant	release	with-lateral-release			
_m	consonant	laminality	laminal			
_n	consonant	release	with-nasal-release			
_O	vowel	rounding	more-rounded			
_o	vowel	raising	lowered			
_q	vowel	tongue_root	retracted-tongue-root			
<R>	vowel	tone	with_global_rise			
_r	vowel	raising	raised			
_T	vowel	tone	with_extra-high_tone			
_t	consonant	breathiness	breathy			
_v	consonant	voicing	revoiced			
_w	consonant	labialization	labialized			
_X	vowel	duration	ultra-short			
_x	vowel	centrality	mid-centralized			
