GRAPHEME	PHONATION	PLACE	SECONDARY	MANNER	EXTRA	ALIAS	NOTE
gʘ	voiced	labial		stop-segment			
gʘχ	voiced	labial	uvular-fricative	stop-cluster			
gʘqχ	voiced	labial	uvular-affricate	stop-cluster			
gʘqχʼ	voiced	labial	uvular-ejective-affricate	stop-cluster			
gʘq	voiced	labial	uvular-plosive	stop-cluster			
gʘɢ	voiced	labial	uvular-voiced-plosive	stop-cluster			
gʘqʰ	voiced	labial	uvular-aspirated-plosive	stop-cluster			
gʘɢʰ	voiced	labial	uvular-voiced-aspirated-plosive	stop-cluster			
gʘqʼ	voiced	labial	uvular-ejective-plosive	stop-cluster			
gʘɢʼ	voiced	labial	uvular-voiced-ejective-plosive	stop-cluster			
gʘh	voiced	labial	voiced-glottal	stop-cluster			
gʘʔ	voiced	labial	glottal	stop-cluster			
gǀ	voiced	dental		stop-segment			
gǀχ	voiced	dental	uvular-fricative	stop-cluster			
gǀqχ	voiced	dental	uvular-affricate	stop-cluster			
gǀqχʼ	voiced	dental	uvular-ejective-affricate	stop-cluster			
gǀq	voiced	dental	uvular-plosive	stop-cluster			
gǀɢ	voiced	dental	uvular-voiced-plosive	stop-cluster			
gǀqʰ	voiced	dental	uvular-aspirated-plosive	stop-cluster			
gǀɢʰ	voiced	dental	uvular-voiced-aspirated-plosive	stop-cluster			
gǀqʼ	voiced	dental	uvular-ejective-plosive	stop-cluster			
gǀɢʼ	voiced	dental	uvular-voiced-ejective-plosive	stop-cluster			
gǀh	voiced	dental	voiced-glottal	stop-cluster			
gǀʔ	voiced	dental	glottal	stop-cluster			
gǃ	voiced	alveolar		stop-segment			
gǃχ	voiced	alveolar	uvular-fricative	stop-cluster			
gǃqχ	voiced	alveolar	uvular-affricate	stop-cluster			
gǃqχʼ	voiced	alveolar	uvular-ejective-affricate	stop-cluster			
gǃq	voiced	alveolar	uvular-plosive	stop-cluster			
gǃɢ	voiced	alveolar	uvular-voiced-plosive	stop-cluster			
gǃqʰ	voiced	alveolar	uvular-aspirated-plosive	stop-cluster			
gǃɢʰ	voiced	alveolar	uvular-voiced-aspirated-plosive	stop-cluster			
gǃqʼ	voiced	alveolar	uvular-ejective-plosive	stop-cluster			
gǃɢʼ	voiced	alveolar	uvular-voiced-ejective-plosive	stop-cluster			
gǃh	voiced	alveolar	voiced-glottal	stop-cluster			
gǃʔ	voiced	alveolar	glottal	stop-cluster			
gǂ	voiced	palatal		stop-segment			
gǂχ	voiced	palatal	uvular-fricative	stop-cluster			
gǂqχ	voiced	palatal	uvular-affricate	stop-cluster			
gǂqχʼ	voiced	palatal	uvular-ejective-affricate	stop-cluster			
gǂq	voiced	palatal	uvular-plosive	stop-cluster			
gǂɢ	voiced	palatal	uvular-voiced-plosive	stop-cluster			
gǂqʰ	voiced	palatal	uvular-aspirated-plosive	stop-cluster			
gǂɢʰ	voiced	palatal	uvular-voiced-aspirated-plosive	stop-cluster			
gǂqʼ	voiced	palatal	uvular-ejective-plosive	stop-cluster			
gǂɢʼ	voiced	palatal	uvular-voiced-ejective-plosive	stop-cluster			
gǂh	voiced	palatal	voiced-glottal	stop-cluster			
gǂʔ	voiced	palatal	glottal	stop-cluster			
gǁ	voiced	lateral		stop-segment			
gǁχ	voiced	lateral	uvular-fricative	stop-cluster			
gǁqχ	voiced	lateral	uvular-affricate	stop-cluster			
gǁqχʼ	voiced	lateral	uvular-ejective-affricate	stop-cluster			
gǁq	voiced	lateral	uvular-plosive	stop-cluster			
gǁɢ	voiced	lateral	uvular-voiced-plosive	stop-cluster			
gǁqʰ	voiced	lateral	uvular-aspirated-plosive	stop-cluster			
gǁɢʰ	voiced	lateral	uvular-voiced-aspirated-plosive	stop-cluster			
gǁqʼ	voiced	lateral	uvular-ejective-plosive	stop-cluster			
gǁɢʼ	voiced	lateral	uvular-voiced-ejective-plosive	stop-cluster			
gǁh	voiced	lateral	voiced-glottal	stop-cluster			
gǁʔ	voiced	lateral	glottal	stop-cluster			
ʘ	unvoiced	labial		stop-segment			
ʘχ	unvoiced	labial	uvular-fricative	stop-cluster			
ʘqχ	unvoiced	labial	uvular-affricate	stop-cluster			
ʘqχʼ	unvoiced	labial	uvular-ejective-affricate	stop-cluster			
