GRAPHEME	PHONATION	PLACE	MANNER	ALIAS	EXTRA	NOTE
b	voiced	bilabial	plosive			
bv	voiced	labiodental	affricate			
bʰ	voiced	bilabial	plosive		aspiration:aspirated	Voiced aspirated really breathy-voiced.
bʰː	voiced	bilabial	plosive	+	aspiration:aspirated,duration:long	Voiced aspirated really breathy-voiced.
bʱ	voiced	bilabial	plosive	+	aspiration:aspirated	
bʲ	voiced	bilabial	plosive		palatalization:palatalized	
bʷ	voiced	bilabial	plosive		labialization:labialized	
bː	voiced	bilabial	plosive		duration:long	
bːʰ	voiced	bilabial	plosive		aspiration:aspirated,duration:long	D cf 11 Voiced aspirated really breath-voiced.
bːʱ	voiced	bilabial	plosive		aspiration:aspirated,duration:long	D cf 10 Voiced aspirated really breathy-voiced.
bˠ	voiced	bilabial	plosive		velarization:velarized	
b̡	voiced	bilabial	plosive		release:unreleased	
b̤	breathy-voiced	bilabial	plosive			
b̥	voiced	bilabial	plosive		voicing:devoiced	
b̥ʰ	voiced	bilabial	plosive		aspiration:aspirated,voicing:devoiced	Q Alias candidate.
bβ	voiced	bilabial	affricate			
bⁿ	voiced	bilabial	plosive		release:with-nasal-release	
c	voiceless	palatal	plosive			
cç	voiceless	palatal	affricate			
cʰ	voiceless	palatal	plosive		aspiration:aspirated	
cʼ	voiceless	palatal	plosive		ejection:ejective	D cf 23 (22 preferred)
cˈ	voiceless	palatal	plosive	+	ejection:ejective	D cf 22 (22 preferred)
cː	voiceless	palatal	plosive		duration:long	
d	voiced	alveolar	plosive			
d̥	voiced	alveolar	plosive		voicing:devoiced	
dz	voiced	alveolar	sibilant-affricate			
dzː	voiced	alveolar	sibilant-affricate	+	duration:long	D alias of 41 (41 preferred)
dð	voiced	dental	affricate			D cf 58 (29 preferred)
dɮ	voiced	alveolar	lateral-affricate			
dʐ	voiced	retroflex	sibilant-affricate	+		Q why alias?
dʑ	voiced	alveolo-palatal	sibilant-affricate			
dʒ	voiced	postalveolar	sibilant-affricate			D cf 49 (33 preferred)
dʒʱ	voiced	postalveolar	sibilant-affricate	+		Q why alias?
dʒʲ	voiced	postalveolar	sibilant-affricate		palatalization:palatalized	
dʰ	voiced	alveolar	plosive		aspiration:aspirated	Voiced aspirated really breathy-voiced.
dʰː	voiced	alveolar	plosive	+	aspiration:aspirated,duration:long	D alias of 45 (45 preferred) Voiced aspirated really breathy-voiced.
dʱ	breathy-voiced	alveolar	plosive	+		Q Why alias? Voiced aspirated really breathy-voiced.
dʲ	voiced	alveolar	plosive		palatalization:palatalized	
dː	voiced	alveolar	plosive		duration:long	
dːz	voiced	alveolar	sibilant-affricate		duration:long	D cf 28 (41 preferred)
dːʑ	voiced	alveolo-palatal	sibilant-affricate		duration:long	
