GRAPHEME	TYPE	FEATURE	VALUE	ALIAS	TYPOGRAPHY	NOTE
◌ʰ	consonant	aspiration	aspirated			
◌ː	consonant	duration	long			
◌ˀ	consonant	glottalization	glottalized			
◌ʷ	consonant	labialization	labialized			
◌̃	consonant	nasalization	nasalized			
◌ᶣ	consonant	palatalization	labio-palatalized			
◌ʲ	consonant	palatalization	palatalized			
◌ˤ	consonant	pharyngealization	pharyngealized			
◌ʱ	consonant	phonation	breathy-voiced	+		
◌̤	consonant	phonation	breathy-voiced			
◌̰	consonant	phonation	creaky-voiced			
◌˳	consonant	voicing	devoiced	+		
◌̥	consonant	voicing	devoiced			
◌̊	consonant	voicing	devoiced		up	
◌̬	consonant	voicing	revoiced			
ʰ◌	consonant	preceding	pre-aspirated			
ˀ◌	consonant	preceding	pre-glottalized			
ⁿ◌	consonant	preceding	pre-nasalized			
◌̚	consonant	release	unreleased			
◌ᶿ	consonant	release	with-dental-fricative-release			
◌ˡ	consonant	release	with-lateral-release			
◌ᵊ	consonant	release	with-mid-central-vowel-release			
◌ⁿ	consonant	release	with-nasal-release			
◌ˣ	consonant	release	with-voiceless-velar-fricative			
ˈ◌	consonant	stress	primary-stress			
ˌ◌	consonant	stress	secondary-stress			
◌̩	consonant	syllabicity	syllabic			
◌̍	consonant	syllabicity	syllabic		up	
◌ˠ	consonant	velarization	velarized			
◌̄	vowel	duration	long	+		
◌̄	vowel	duration	long	+		
◌ː	vowel	duration	long			
◌ˑ	vowel	duration	mid-long			
◌ˀ	vowel	glottalization	glottalized			
◌̃	vowel	nasalization	nasalized			
◌ˤ	vowel	pharyngealization	pharyngealized			
◌̤	vowel	phonation	breathy-voiced			
◌̰	vowel	phonation	creaky-voiced			
◌̆	vowel	duration	ultra-short			
◌˳	vowel	phonation	voiceless	+		
◌̥	vowel	phonation	voiceless			
◌̊	vowel	phonation	voiceless		up	
◌˞	vowel	rhotacization	rhotacized			
◌̹	vowel	roundedness	rounded			
◌̜	vowel	roundedness	unrounded			
ˈ◌	vowel	stress	primary-stress			
ˌ◌	vowel	stress	secondary-stress			
ˈ◌	click	stress	primary-stress			
ˌ◌	click	stress	secondary-stress			
◌̯	vowel	syllabicity	non-syllabic			
◌̑	vowel	syllabicity	non-syllabic		up	
◌ˠ	vowel	velarization	velarized			
◌̋	vowel	tone	with_extra-high_tone			
◌́	vowel	tone	with_high_tone			
◌̄	vowel	tone	with_mid_tone			
◌̀	vowel	tone	with_low_tone			
◌̏	vowel	tone	with_extra_low_tone			
◌̌	vowel	tone	with_rising_tone			
◌̂	vowel	tone	with_falling_tone			
◌↗	vowel	tone	with_global_rise			
◌↘	vowel	tone	with_glogal_fall			
◌↑	vowel	tone	with_upstep			
◌↓	vowel	tone	with_downstep			
